Image,Description,Question,Option A,Option B,Option C,Option D,Correct Answer
https://www.ecomed.com.au/wp-content/uploads/2015/11/specula_cusco.jpg,Image showing a bivalve vaginal speculum,What is this instrument used for?,Inspecting cervix,Measuring uterus,Extracting products of conception,Performing curettage,Inspecting cervix
https://www.researchgate.net/profile/Linda-Daou/publication/304000046/figure/fig1/AS:556368643596290@1509660029838/A-Three-dimensional-volume-of-a-normal-first-trimester-fetus-at-12-weeks-4-days_Q320.jpg,Ultrasound image of a normal first trimester fetus,What does this ultrasound image show?,Blighted ovum,Normal intrauterine pregnancy,Ectopic pregnancy,Molar pregnancy,Normal intrauterine pregnancy
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Fetal_heart_rate_monitor_illustration.png/320px-Fetal_heart_rate_monitor_illustration.png,Fetal heart rate monitoring strip showing late decelerations,What does this fetal heart rate pattern indicate?,Normal,Early deceleration,Late deceleration,Variable deceleration,Late deceleration
https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Polycystic_ovary_ultrasound.jpg/320px-Polycystic_ovary_ultrasound.jpg,Ultrasound image of ovary demonstrating multiple small follicles,String of pearls sign is typical for?,Polycystic ovary syndrome,Ovarian cancer,Ovarian torsion,Ovarian hyperstimulation syndrome,Polycystic ovary syndrome
https://upload.wikimedia.org/wikipedia/commons/4/4b/Cervical_cancer_Colposcopy_photo3.jpg,Colposcopic image showing acetowhite lesions on cervix,What pathology is likely present?,Normal cervix,Cervical intraepithelial neoplasia,Cervicitis,Cervical polyp,Cervical intraepithelial neoplasia
https://upload.wikimedia.org/wikipedia/commons/9/9e/Ultrasound_of_hydrosalpinx.jpg,Ultrasound image showing hydrosalpinx,What is the diagnosis?,Ovarian cyst,Hydrosalpinx,Endometrioma,Ectopic pregnancy,Hydrosalpinx
https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ultrasound_of_the_ovary.jpg/320px-Ultrasound_of_the_ovary.jpg,Ultrasound image showing multiple ovarian cysts,What syndrome does this suggest?,Polycystic ovary syndrome,Ovarian cystadenoma,Ovarian cancer,Ovarian torsion,Polycystic ovary syndrome
https://d2u1z1lopyfwlx.cloudfront.net/thumbnails/08108928-1fb2-5e37-a7bc-036079251f5b/fab81a65-2c50-5a4f-a0f6-a4279f631876.jpg,Pap smear showing koilocytotic changes,What causes these cellular changes?,Human papillomavirus,Herpes simplex virus,Candida albicans,Chlamydia trachomatis,Human papillomavirus
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Uterine_sound-2.svg/320px-Uterine_sound-2.svg.png,Instrument used to measure uterine depth,What is this instrument?,Uterine sound,Speculum,Forceps,Curette,Uterine sound
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Normal_cervical_mucosa_colposcopy.JPG/320px-Normal_cervical_mucosa_colposcopy.JPG,Normal cervical colposcopy image,What feature indicates a healthy cervix?,Smooth glistening epithelium,Aceto-white areas,Vascular punctation,Irregular lesions,Smooth glistening epithelium
https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cervical_cancer_Staging.jpg/320px-Cervical_cancer_Staging.jpg,Cervical cancer staging diagram,Which stage describes lesion confined to cervix?,Stage I,Stage II,Stage III,Stage IV,Stage I
https://upload.wikimedia.org/wikipedia/commons/1/1b/Pelvic_ultrasound_female_normal.jpg,Normal female pelvic ultrasound,What structures are visible?,Uterus and ovaries,Uterus and bladder,Ovaries and kidney,Bladder and rectum,Uterus and ovaries
https://www.momjunction.com/wp-content/uploads/2019/03/Crown-Rump-Length-Chart-And-Measurement-1.jpg.webp,Normal fetus crown rump length,What is the probable gestation age of the fetus. The length above was measured at 60mm,5 weeks,30 weeks,24 weeks,12 weeks,12 weeks
https://prod-images-static.radiopaedia.org/images/53934659/I202011230901275250018.jpg,An ultrasound of a fetus with anencephaly. The mickey mouse sign is seen where there is floating cerebral hemispheres.,What fetal anomaly is this?,The fetus is perfectly normal,Anencephaly,Spina bifida,Tetralogy of Fallot,Anencephaly
https://kriznanultrasoundimages.com/wp-content/uploads/2012/07/gopiya-vsd_28.jpg,An ultrasound of a fetus with ventricular septal defect,What fetal anomaly is this? (Tip the problem is in the heart),ASD,TOF,VSD,Hypoplastic Left Heart Syndrome,VSD
