headline,description,url
Ruto Reveals Town That Could be Kenya’s Next City,"President William Ruto has announced his intention to make Meru town Kenya’s fifth city after Nairobi, Mombasa, Kisumu, and Nakuru.
The Head of State, while addressing a roadside rally at Makutano Junction, Meru town, on Saturday afternoon, said he was ready to elevate the municipality to city status due to its rapid growth.
In his speech, the President revealed the government’s plan to disburse Ksh2 billion for the construction of 16 additional modern markets to boost trade.
""The governor has said he wants Meru to become Kenya's next city. Do you want Meru to become the next city? So, do you think I did not know that? I already had that idea in mind,"" Ruto said.
President William Ruto addressing Meru residents during his Mt Kenya tour, April 2, 2025. PCS
During the rally, Ruto also ordered Water and Sanitation Cabinet Secretary Eric Mugaa to ensure the county's sewer system was rectified by December this year.
He noted the market and sewer projects were part of the broader plan to enhance Meru's ability to attract investment and spur further development in the region.
Ruto's promise follows a request by Meru Governor Isaac Mutuma, who called on the president to consider making the populous region a city as an appreciation of the town's growth.
Mutuma, in his request to the Head of State, revealed that several development projects had already been completed and that elevating Meru to city status would be an added advantage.
""Our big problem, which was the sewer system in Meru, will be completed so that the next city in Kenya becomes Meru. We want the next city to be clean once the sewer system has been rectified,"" Mutuma told the President.
Meanwhile, Ruto's plan to make Meru the next city comes four years after the government made Nakuru a city following a vote by the Senate to elevate it from municipality.
Former President Uhuru Kenyatta, in November 2021, formally awarded a city charter to Nakuru, making it Kenya's fourth city. It was made a city mainly because of its population growth and economic development. 
For a town to become a city, it must have a population of at least 250,000 residents, have a city development plan and prove its ability to generate revenue to sustain its operations.
A street in Nakuru City PHOTO LAKE NAKURU NATIONAL PARK",https://www.kenyans.co.ke/news/113363-ruto-hints-making-meru-kenyas-next-city
Family of Shot Mask Vendor Issues Alarming Health Update,"The family of Boniface Kariuki, the mask vendor who was shot during the June 17 protests in Nairobi, has revealed that he is in a bad state and not responding to treatment.
Speaking during a media briefing on Saturday outside Kenyatta National Hospital, the family revealed that the hospital is yet to issue them with an official report, although they are allowed to see him.
From their observations, Kariuki's health remains stagnant, as he is still in the same condition in which he was admitted.
“We have not been told anything about his status. But we have visited him, and we can see that he is not responding; he is just there. The situation he was in is still the situation he is in,” the family's lawyer told the press.
Jonah Kariuki, father to Boniface Kariuki, June 19, 2025. PHOTO SCREENGRAB
Jonah Kariuki, Boniface's father, also expressed his worry, saying that he is only awaiting the day when the hospital will return his son alive, well, and as lively as he once was.
“Right now, I am very sad, I feel very bad because my son is still critically ill. I'd like them to return my son well, and the way he was,” Kariuki said.
The update by the family comes amid concerns from Kenyans that the mask vendor is not progressing with treatment.
""I sincerely hope KNH is not concealing the real situation of Boniface Kariuki,"" activist Hanifa Adan, one of those who have raised the concerns, said.
Doctors from KNH revealed that Boniface was in a critical condition in the Intensive Care Unit after being shot in the head at close range.
He underwent two emergency surgeries, including a delicate neurosurgical procedure to remove a bullet lodged in his skull. According to KNH CEO Dr William Sigilai, Kariuki is on mechanical ventilation and under round-the-clock observation by a multidisciplinary team.
Meanwhile, the family’s lawyer revealed that no government official has contacted them following the incident. They also tried to report the case at the Central Police Station but have so far been unable to do so.
""The family is yet to file a complaint with the police; they went to the Central Police Station to see those officials, but nothing went through. The government has also not contacted them, nor offered any type of assistance,"" the lawyer detailed.
Currently, the family has revealed that the hospital bill stands at Ksh 1 million, an amount they perceive will increase.
A screengrab of Susan Njeri, mother to Boniface Kariuki, the mask vendor who was shot by a police officer during protests in Nairobi on Tuesday, June 17, 2025. PHOTO NTV",https://www.kenyans.co.ke/news/113362-mask-vendor-shot-during-june-17-protests-critical-condition-family-says-hes-not
87 Companies Set to Shut Down,"Massive job losses are on the horizon after 24 companies issued notices of dissolution, signalling their subsequent closure.
“Under Section 897(4) of the Companies Act, it is notified for the information of the general public that the following companies are dissolved and their names have been struck off the Register of Companies with effect from the date of publication of this notice,” the notice read.
Further, 63 companies issued notices of intended dissolution, with the firms set to close shop over the next three months.
“Under Section 897(3) of the Companies Act, the Registrar of Companies gives notice that the names of the companies specified hereunder shall be struck off from the Register of Companies at the expiry of three months from the date of publication of this notice, and invites any person to show cause why the companies should not be struck off from the Register of Companies,” the notice stated.
Kenyan youth queuing on Wabera Street in Nairobi, waiting for services on May 26, 2018. PHOTO KENYAN MAGAZINE
In light of the new notices, the latest could trigger job losses across the various areas in which the companies are specialised.
In Kenya, the Registrar of Companies can order the dissolution of a company, commonly referred to as a ""strike-off"", primarily when there is non-compliance with statutory filing requirements, or when the Registrar reasonably believes the company is no longer carrying on business or is not in operation.
Failure to file annual returns and financial statements is one of the most common reasons companies are dissolved.
Companies are legally required to file annual returns and financial statements with the Registrar each year. If a company repeatedly fails to submit these documents, the Registrar may assume it is no longer active and initiate the strike-off process.
Additionally, failure to respond to official communications can lead to a company’s dissolution. If the Registrar sends letters to a company’s registered office and receives no response, or if the letters are returned undelivered, it may indicate that the company is no longer operating from its registered address.
Furthermore, failure to have and maintain a registered office can provide sufficient grounds for a company to be dissolved. A registered office address is a legal requirement.
If the Registrar can establish that a company no longer has a registered office or is not operating at the listed address, the regulator can proceed with a strike-off.
Although less common as a direct cause for strike-off, continuous non-compliance with core corporate governance obligations, such as failing to appoint or maintain a company secretary (where legally required), or not having the minimum number of directors, can raise concerns with the Registrar. This may prompt further investigation, which could lead to dissolution if the company is found to be defunct.
If the Registrar has reasonable cause to believe that a company is not carrying on business or is not in operation, based on public records, lack of filings, absence of activity, or information from third parties, they can initiate the strike-off process. This may be inferred from the absence of required filings or responses.
Typically, the dissolution process begins with warning letters, which include a 14- or 28-day ultimatum, followed by a gazette notice announcing the intended dissolution, and finally the formal strike-off.
Once a company is struck off, it ceases to exist as a legal entity. Its assets may become bona vacantia (ownerless property) and revert to the state. Directors and shareholders may also face penalties or liabilities if the strike-off was due to their non-compliance.
President William Ruto speaking at State House, Nairobi after a hosting a delegation from Kisumu on Wednesday, June 18, 2025. PCS",https://www.kenyans.co.ke/news/113360-job-losses-loom-after-24-companies-close-63-others-issue-closure-warning
How The Standard Crafted Headlines That Shook the Nation,"In an age where gadgets rule and news is devoured digitally, getting the public to notice a newspaper takes serious effort. Yet one Mombasa Road-based media house appears to be doing just that, and setting the standard while at it.
For years, The Standard touted itself as Kenya’s boldest newspaper. But that boldness didn’t quite pack a punch until recently, when it went bare-knuckle against the government.
Let’s face it: the current regime needed to be kept in check, and the opposition wasn’t doing much of a job, especially after the broad-based handshake.
Someone had to step up, be it an individual, a group, a generation, or even an institution. In business, identifying gaps and providing solutions is the ultimate hack, and the team of editors at The Standard probably saw this and came up with a plan.
A side-by-side demonstration of The Standard Newspaper's headlines touching on President William Ruto.
They tried it once, twice, thrice, and it worked. Screenshots of the headlines went viral on X. They were everything the media should be: loud, clear, and a true voice of the people.
The headlines communicated what many Kenyans were murmuring behind closed doors. Their message was amplified in every sense; bold, hard-hitting, and entirely unbothered. The paper called out the President and his peers, parading their faces for all to see.
Kenyans seemed to have been longing for this. They were tired of rampant corruption, endless inquiries, and shady deals that left the country drowning in debt.
So, how exactly did The Standard pull this off?
According to seasoned editors at the media house, journalism was slowly losing its salt, and someone needed to bring back the flavour. Of course, it would come at a cost, but they were willing to pay.
“For a long time, the media has been operating in a very predictable way, barely going beyond the surface. We saw a need to speak up and amplify what society has been saying in the streets and on social media,” said a seasoned editor at the company.
“Our country has been bleeding for some time, and it was time to hold people to account. Our decision to run bold headlines was very deliberate, and they genuinely speak for the public.
“As journalists, we have a duty to inform and educate. We’ve gone beyond that by becoming a voice for the voiceless. We’re not activists, just journalists who want change,” added another.
The entrance of Standard Group PLC, located along Mombasa Road, Nairobi. PHOTO KENYANS.CO.KE
Lying President, You’re Unfit to Lead, Our Turn to Eat, Tower of Babel, Ruthless President, Big Man Syndrome, and Blood on Their Hands, just a few of the headlines that stirred the pot.
Weren’t they afraid of the implications?
Another experienced editor said no one was holding the government accountable, and at some point, it had become business as usual for the regime.
“With all the scandals, even the opposition was coming off as exhausted. That’s when The Standard decided to step up.
“Didn’t you see our newspapers hoisted like placards during Maandamano? And the online chatter? We’ve been trending for weeks… So yes, the headlines are working, and we’ve earned public trust,” she quipped.
President William Ruto has been on the receiving end of most of the headlines that have squarely put him in the spotlight.
When he began his tour of Central in April, the Head of State claimed that Kenya was exporting tea to Sudan, a statement swiftly disputed by the Sudanese government. A few days later, former Public Service CS Justin Muturi poked holes in Ruto’s leadership, accusing him of an insatiable thirst for deals.
Justin Muturi and President William Ruto during a past event THE STANDARD
Then came a string of conflicting statements by senior security officials, hinting at divisions within the National Security Council, a case of disjointed communication, to say the least.
This was further compounded by Interior Cabinet Secretary Kipchumba Murkomen’s remarks on abducted Kenyans reunited with their families, comments that appeared to contradict his boss’s line.
These bold headlines didn’t go unnoticed. In April, the media house claimed the government was hell-bent on revoking its broadcasting licence.
Communications Authority of Kenya
The company revealed it received a notice from the Communications Authority (CA) announcing the revocation of its licence for allegedly failing to pay a Ksh43 million fee.
The media house stated that the Ksh43 million was a regulatory fee, agreed upon with the government in December last year after consultations.
In the agreement, Standard Group pledged to make an initial payment of Ksh10 million, which it honoured on December 27, and to pay a further Ksh24 million once the Rights Issue was finalised.
State House
On Saturday, May 31, Standard Group journalists were denied access to State House to cover a visit by Slovenian President Nataša Pirc Musar.
Speaking to Kenyans.co.ke, the journalists said that scribes from other media houses were granted entry, but there were specific instructions to block Standard reporters from going in.
Signal Hitch
On May 23, the media house announced a temporary downtime affecting its TV and radio stations, which resulted in service disruption.
In a brief statement on Friday morning, the group disclosed that most of its radio and TV platforms were temporarily off air due to a technical hitch.
ODM
The Orange Democratic Movement (ODM) also hit out at Standard Group for allegedly running a smear campaign against party leader Raila Odinga and his family.
In a statement on Monday, May 5, the party’s Executive Director, Oduor Ong’wen, said the campaign negated, demeaned, and tarnished Odinga’s reputation.
This followed a story in The Standard headlined Our Turn to Eat, which pointed to some of Odinga’s relatives landing high-level state jobs following the March handshake with Ruto.
Oduor claimed the article was inappropriate, especially considering the “great personal risk” Odinga had taken for the nation.
Leaders
In April, Kericho Senator Aaron Cheruiyot slammed the Kenyan media over its coverage of the Kenya Kwanza administration, particularly President Ruto.
Speaking at the burial of former MP John Koech, the Senate Majority Leader criticised what he called “ridicule” and a lack of respect for the Office of the President.
Despite the backlash, the media house has remained resolute in its mission: calling out government ills and keeping the powerful in check.
A group of Journalists at a Press Conference in Nairobi on July 12, 2021. PHOTO MEDIA COUNCIL OF KENYA (MCK)",https://www.kenyans.co.ke/news/113361-how-standard-newspaper-kenya-took-president-ruto-bold-headlines
Teachers Announce Date for Nationwide Strike,"The Kenya Union of Post-Primary Education Teachers (KUPPET) has given the Teachers' Service Commission (TSC) seven days to commence talks on a new Collective Bargaining Agreement (CBA); failure to which they will strike beginning June 28.
Led by its chairperson, Omboko Milemba, the union expressed concerns over the delays in talks for a new CBA, since the current one expires on June 30 this year.
Addressing journalists on Saturday, June 21, Milemba revealed that they had already notified Labour Cabinet Secretary Alfred Mutua about their concerns, as TSC had remained quiet on the matter.
During the presser, the KUPPET boss urged the CS to initiate the talks immediately, failure to which the union would be forced to call for a nationwide strike.
The Kenya Union of Post-Primary Education (KUPPET) Chairman Omboko Milemba PHOTO KUPPET
""TSC should invite us for talks, the other person who should also be involved is the Labour Cabinet Secretary, who should make sure that TSC convenes the talks immediately,"" Milemba stated.
""Other people who should also contribute to these talks are the Members of Parliament, in particular the National Assembly's Education Committee,"" he added.
KUPPET's Secretary General, Akello Misori, noted that the new CBA was of great significance, as it was meant to address teachers' welfare and motivate them.
""We have given the government seven days to address the issue of CBA because we do not want our members to be overexposed in an event there is no CBA beyond June 30,"" Akello Misori stated.
In the new CBA, KUPPET has proposed an increase in the teachers' basic pay by 50 per cent for teachers in higher job grades and a 100 per cent increase for teachers in lower job groups.
The union is also calling for the modernisation of teachers' house allowance by increasing it by 20 per cent for all teachers. Similarly, KUPPET is also demanding an increase in the hardship allowance for some teachers.
In the CBA, KUPPET is proposing an increase in the hardship allowance by 200 per cent for those in higher job grades and 250 per cent for those in lower job grades.
 Further, the union is demanding the introduction of an overtime allowance for teachers across the board. Nonetheless, KUPPET opposed the government's decision to remove the examination fee.
KUPPET secretary-general Akelo Misori (left) and chairman Omboko Milemba (right) during a press briefing in February 2022 PHOTO KUPPET",https://www.kenyans.co.ke/news/113359-kuppet-issues-7-day-notice-tsc-new-cba-talks
"KeNHA Cracks Down on County's Ksh20,000 Illegal Fines Outside Governor’s Office","The Kenya National Highways Authority (KeNHA) has cracked down on the Busia County Government after it erected an illegal sign forcing motorists to pay fake fines of Ksh20,000.
In a notice dated June 13, KeNHA confirmed that the sign was put up without approval from the National Roads Authority.
“We visited the site and observed that the sign was installed on the frontage of the Governor’s premises, presumably to restrict its usage by vehicles or traders.
“We note that no approval has been issued to the County Government of Busia for the installation of the sign,” the notice reads.
An image of the sign in Bungoma County on June 21, 2025. TWITTER OKIYA OMTATAH
The sign installed by the county reads: “No parking of vehicles is allowed around this zone. Offenders will be arrested and charged. Ordered by the County Government of Busia.”
KeNHA, however, ordered the Busia County Government to remove the sign with immediate effect.
The authority also warned the county to follow the proper legal process if it wishes to make any changes in future.
“As such, a directive has been issued to the county to immediately remove the sign and follow the due process to acquire its approval,” KeNHA noted.
Additionally, Busia Senator Okiya Omtatah confirmed that the county government had extorted motorists using unauthorised signs to impose Ksh20,000 fines.
""Despite their illegality, they are reportedly being used to impose fines of up to Ksh20,000, often without legal justification or due process,"" Omtatah stated.
Omtatah warned that public roads cannot be taken over by any government for personal gain.
“Public roads cannot be privatised or turned into toll points by rogue actors. We are guarding Kenya’s role as East Africa’s trade gateway and protecting the rights of motorists, traders, and citizens,” Omtatah said.
Busia Senator Okiya Omtatah speaking on July 11, 2023 PHOTO OKIYA OMTATAH",https://www.kenyans.co.ke/news/113356-kenha-cracks-down-unauthorized-busia-county-road-signs-imposing-illegal-fines
MP Heckled in Front of Ruto After Claiming Feed Prices Have Dropped,"Nominated MP Dorothy Muthoni faced a hostile reception during the 10th Annual Dairy Farmers Field Day in Meru County after claiming that President William Ruto’s administration had successfully lowered the cost of animal feeds.
The event, which drew thousands of livestock farmers from around the region and high-profile leaders, including President Ruto, had been organised to showcase innovation in the dairy industry in the region.
The crowd, relatively calm and collected, was charged when the MP took to the stage and started praising President Ruto, showcasing some of the projects he had done.
The farmers followed her speech until she reached the point where she alleged that the President had lowered the prices of animal feeds. In a quick rejoinder, the farmers rejected the claim and heckled the MP, forcing her to stop.
Nominated MP Dorothy Muthoni at a past event, June 5, 2025. PHOTO DOROTHY MUTHONI
""We would like to thank you because you have been a big help to the Meru dairy farmers, you have reduced the price of animal feeds, and we are grateful...,"" the MP alleged.
However, before she could finish the statement, the charged crowd interrupted and heckled her, emphasising that the prices had not gone down.
“Hapana, hapana, hajafanya hivyo. Wapi hizo bei zimepungua? Tunateseka bado. (No, he has not done that. Where have the prices gone down? We are still suffering,” the farmers said.
The lawmaker was forced to acknowledge the concerns. She quickly changed her tune and promised the farmers that although this had not been done, the regional leadership would follow up to ensure the prices of animal feeds were reduced.
“If the prices have not been reduced, that is fine, but the president is here and we will look into the matter to ensure it is resolved,” Muthoni assured.
The bold response from the farmers expressed their growing frustration over the high cost of production, which they maintained had remained unsustainable.
While addressing the farmers at the event, President Ruto reaffirmed his commitment to the agriculture sector, assuring farmers that lowering the cost of milk production remains a top priority in his administration.
Also present at the event were Deputy President Kithure Kindiki, Cabinet Secretary for Public Service Geoffrey Ruku, Water and Irrigation Cabinet Secretary Eric Muga, and other leaders.
President William Ruto during a Cabinet and Senior Ranks Retreat at Karen, Nairobi on June 18, 2025. PCS",https://www.kenyans.co.ke/news/113358-nominated-mp-muthoni-heckled-meru-claiming-ruto-lowered-cost-animal-feeds
2025 Finance Bill: Why it Matters to Kenyans & How They Can Benefit,"On June 19, 2025, Parliament passed the Finance Bill 2025 after intense debate and massive public interest. But what does this mean for you, the ordinary mwananchi trying to make ends meet, build a life, raise a family, and grow a hustle?
The Bill touches on everyday life: what you earn, what you spend, how you save, and how the government uses your taxes.
In the Bill, which has received its fair share of criticism, there are several key areas the government, through the Ministry of Treasury, argued would benefit Kenyans.
Firstly, the Bill proposes an amendment to the First Schedule of the Income Tax Act to explicitly exempt gratuity and other allowances paid under public pension schemes from taxation. It further seeks to repeal subsections (4) to (9A) of Section 8 of the Income Tax Act, which currently govern the tax treatment of pensions and retirement benefits under both private schemes and the National Social Security Fund (NSSF).
Protesters during the anti-Finance Bill demonstrations in Kenya. PHOTO MINT
Since the Bill was passed, this now means that if you are retiring, your full payout is yours. No more tax deductions on your gratuity.
Additionally, the Bill had proposed an increased tax-free ceiling for per diems from the current Ksh2,000 to Ksh10,000. This means that employees receiving a daily allowance for official travel will have a larger portion of that allowance exempt from income tax. This change is to be effective from July 1, 2025.
If you trade in cryptocurrency, NFTs, or earn online, your tax is now halved. Specifically, the Bill proposes a reduction in the Digital Asset Tax rate from the current three per cent to 1.5 per cent. This tax is levied on the transfer or exchange value of digital assets.
According to the government, this move would be key in encouraging youth and digital hustlers to thrive in an online economy and ensure compliance by making the tax burden less prohibitive.
In this year’s Finance Bill, provisions were made that directly affected foreign companies like Netflix and Google. The primary tax touching on these digital service providers is the Significant Economic Presence (SEP) Tax, which is intended to replace the previous Digital Service Tax (DST).
The 2025 Finance Bill proposed to expand the scope of the SEP tax to include income derived or accrued from Kenya through a business carried out via the internet or an electronic network, including through a digital marketplace. 
This directly targets non-resident entities that generate revenue from Kenyan consumers without necessarily having a physical presence in the country. This means platforms offering streaming services (like Netflix), digital advertising (like Google Ads), online marketplaces, and other digital content services would be subject to this tax.
By doing so, local digital companies could compete fairly, and Kenya earns revenue from foreign profits.
The 2025 Kenyan Finance Bill included a provision where the Excise Duty Act would adopt the East African Community (EAC) Customs Union Protocol for goods classification. The move is designed to standardise classification rules for goods, reduce customs disputes, improve regional trade consistency, and support import/export accuracy.
Essentially, the provision is aimed at aligning Kenya's excise duty classifications with those of the broader EAC bloc, enabling smoother trade within the region.
The Bill also promised tax relief whereby one would no longer need to buy a house to get mortgage tax relief — even if you build through a SACCO or a personal loan, you qualify automatically.
For companies, the Bill introduced a provision aimed at providing clear tax terms, particularly for large companies involved in international transactions. This was done through the introduction of an Advance Pricing Agreement (APA) framework.
APAs are agreements between the Kenya Revenue Authority (KRA) and a taxpayer (typically a large multinational company) that determine, in advance, the pricing methods to be applied to specific related-party transactions for a set period.
Through this, big firms can agree on tax arrangements with KRA for up to five years, with the framework designed to attract stable investment and protect jobs.
Other provisions, such as no introduction of new PAYE tax bands, restrictions on the taxman’s ability to access one’s data, zero-rated tax reforms on essential commodities, and corporate tax breaks for key sectors, were included in the new Finance Bill.
In recent times, the Finance Bill has become a touchy subject among the Kenyan population, especially after demonstrations were witnessed following the passing of the 2024 Finance Bill.
President William Ruto during the signing of the Anti-Money Laundering and Combating of Terrorism Financing Laws (Amendment) Bill, 2025 at State House, Nairobi on June 17, 2025. PCS",https://www.kenyans.co.ke/news/113357-2025-finance-bill-why-it-matters-kenyans-how-they-can-benefit
Several Businesses at Risk of Closure After Governor Orders Crackdown,"Several businesses in Murang'a County are at risk of closure following a directive by Governor Irungu Kang'ata, who ordered a crackdown on non-compliant traders.
The governor on Saturday, June 21, ordered a crackdown targeting businesses with fake or expired single business permits and those with unpaid county fees.
Kang'ata noted that the county-wide inspection would commence on June 23 and would also target business premises with counterfeit liquor licenses.
In the notice, the governor said the crackdown was to promote compliance, uphold fair business practices, and protect legitimate businesses and consumers.
Murang'a Governor Irungu Kang'ata addressed residents at a past event in the region. IRUNGU KANG'ATA
However, the governor assured residents that the crackdown would only target non-compliant businesses, reiterating that legitimate businesses would not be affected.
""The Murang’a County Government will commence a county-wide inspection starting 23rd June 2025, focusing on: counterfeit liquor licences, fake or expired Single Business Permits, and unpaid county fees and dues,"" Kang’ata announced.
""Legitimate businesses will not be affected. County officers will conduct the exercise with professionalism, respect, and integrity,"" the governor emphasised.
To avoid closure, business owners were advised to immediately verify their licences and permits before June 23 and ensure all county fees are fully paid.
Kang’ata’s directive comes barely six days after the Kisumu County Government launched inspections against illegal businesses to ensure compliance with regulations and curb revenue leakages.
Speaking during the commencement of the operation on June 13, Kisumu City Manager Abala Wanga said the county government would not tolerate continued disregard of licensing laws.
The crackdown also targeted illegal billboards and other signage placed within the city without the county government's approval. He said the crackdown was informed by a recent investigation that unravelled widespread non-compliance by city traders.
""We will go shop by shop. If you haven’t applied or paid for your business license, do so now. Anyone found with irregular or fake documents will pay double the required fees,” Abala Wanga noted.
An aerial photo of the Kisumu Bus Stage. PHOTO KENYA NEWS AGENCY",https://www.kenyans.co.ke/news/113355-governor-irungu-kangata-orders-crackdown-non-compliant-businesses
Raila Slapped With Demands Hours After His Comments on Adani Deal,"The Motorists Association of Kenya has called on former Prime Minister Raila Odinga to retract his support for the defunct Adani deal and instead respect the will of the Kenyan people.
The Association, on Saturday, June 21, accused Odinga of betraying public trust by endorsing controversial Public-Private Partnerships (PPPs) such as the Adani deal.
According to the motorists, the deal was exploitative and was rightly rejected by Kenyans through sustained outcry and civic engagement. Supporting it, they argued, undermined national sovereignty.
In their statement, the motorists labelled the now-cancelled PPP agreement with the Indian conglomerate as part of the cleverly disguised schemes to surrender vital national assets to foreign multinational interests under the guise of progress. 
A photo of Adani Holdings Group owner Gautam Adani. Photo/Gautam Adani INSTAGRAM
""Every intelligent and patriotic Kenyan understands the danger posed by many of the Public-Private Partnership (PPP) deals currently being pursued and sealed,"" read part of a statement by the Association.
""In truth, long-term concessions, often spanning 30 years or more, are typically imposed on countries that have defaulted on loan repayments. Kenya is not in default,"" it added.
While criticising the Orange Democratic Movement (ODM) party leader, the motorists noted that it was disappointing to witness Raila, a leader who once inspired hope for justice and equity, sympathising with imperialistic concessions.
""We therefore call upon Raila Odinga to reconsider his stance and to side with the people who once marched alongside him in pursuit of freedom, equity, and dignity,"" the motorists demanded.
They added, ""His legacy need not be tarnished by association with unjust deals that sell our national assets to the highest bidder. The struggle for economic liberation continues.""
The Motorists Association's statement came a day after the former Prime Minister expressed regret over the cancellation of the Adani deal that was meant for the expansion of the Jomo Kenyatta International Airport (JKIA).
Odinga, who spoke on the second day of the executive retreat, noted that the country was at a critical stage where the leadership must rise above crowd-pleasing rhetoric and make tough decisions in the best interest of the nation.
“I was very disappointed when we were not able to move on with the (Adani) airport contract. When Adani was brought in, there was all that politicking that resulted in its cancellation,” he asserted.
“If development around the airport is not done, Nairobi could end up becoming dormant,” he added.
India's Adani Group Limited company's office and an insert of Former Prime Minister Raila Odinga PHOTO ADANI GROUP",https://www.kenyans.co.ke/news/113354-motorists-association-slams-raila-over-comments-adani-deal
