original_headline,url,content_hash,processed_date
KeNHA Announces Temporary Closure of Bridge,https://www.kenyans.co.ke/news/113110-kenha-announces-temporary-closure-kanyadhiang-bridge-kendu-bay,d243b983768cced3355949aec2c3d7cc,2025-06-14T15:16:29.284567
Charlene Ruto Proposes Way Forward on Albert Ojwang Murder,https://www.kenyans.co.ke/news/113109-charlene-ruto-sends-condolences-albert-ojwangs-family-calls-generational-ceasefire,752f08d27f86a6b0e072577f133a4aac,2025-06-14T15:19:57.150719
"Police Bust CBD-Based Phone Theft Syndicate, Recover 75 Phones",https://www.kenyans.co.ke/news/113108-three-arrested-75-phones-recovered-after-police-bust-cbd-based-phone-theft-syndicate,238c9244db9d9b247442a52f765c60d0,2025-06-14T15:22:52.139537
Why Irungu Nyakera Wants SGR Renamed 'Uhuru Rail',https://www.kenyans.co.ke/news/113107-how-govt-can-make-sgr-more-profitable-irungu-nyakera,574fa1c71f7f9fedc33222cf3008f1e7,2025-06-14T15:26:14.645161
Govt Introduces Bold New Graphic Warnings on All Tobacco Products,https://www.kenyans.co.ke/news/113106-ministry-health-gazettes-new-graphic-warnings-all-tobacco-products,80d2fe7b9c29e29709dd9008282d6edb,2025-06-14T15:29:24.839980
Another Kenyan Dies in Police Custody,https://www.kenyans.co.ke/news/113105-stock-theft-suspect-dies-suicide-cell-katito-police-station-kisumu,7373d4adefd47d8106caa4cdd8e51287,2025-06-14T15:32:39.666635
McDonald Mariga & Victor Wanyama Lose Mother,https://www.kenyans.co.ke/news/113104-kenyan-football-stars-mcdonald-mariga-victor-wanyama-lose-mother,49c1e9037214f8101197ae74b00fc162,2025-06-14T16:43:11.594294
Kenya Nominates DCI Boss Amin for INTERPOL Role,https://www.kenyans.co.ke/news/113103-cs-murkomen-nominates-dci-boss-mohammed-amin-interpol-executive-committee-seat,16e02881d9fea967acd03cef1755598f,2025-06-14T18:23:30.816579
Govt to Begin Arrest of Protestors,https://www.kenyans.co.ke/news/113120-sakaja-orders-arrest-protestors-accused-destroying-property,4c17e69e75d4159723be5e4f97c58acd,2025-06-15T08:10:51.272898
Outrage Erupts Over Police Social Media Post,https://www.kenyans.co.ke/news/113119-outrage-erupts-over-polices-fathers-day-post,87c03da6b324a636213770a033960f2f,2025-06-15T08:19:04.686170
CCTV Footage of Albert Ojwang's Last Moments Emerges,https://www.kenyans.co.ke/news/113117-cctv-footage-shows-albert-ojwangs-final-moments,8ce4f8f9fc4de29baaa281478e66c59c,2025-06-15T08:23:17.581850
EPRA Announces Fuel Prices for June-July,https://www.kenyans.co.ke/news/113115-epra-announces-new-fuel-prices-super-petrol-increases-diesel-kerosene-decrease,5c22ccdc20060ed941a277e689e7fba8,2025-06-15T11:18:55.939905
Kenya Air Force Plane Crashes,https://www.kenyans.co.ke/news/113113-two-kenya-air-force-officers-killed-kwale-plane-crash,66f85ed2c261e3986d440919fcffc5ed,2025-06-15T11:21:25.285141
Babu Owino Sounds Alarm Over Masked Police at Protests,https://www.kenyans.co.ke/news/113112-babu-owino-slams-police-defying-court-order-masks-during-protests,b76d8e2e8e1b7c05d37504d442f794e9,2025-06-15T11:23:51.498341
