Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the primary route of administration for insulin?,Intradermal,Subcutaneous,Intramuscular,Intravenous,Subcutaneous
Which of the following is the most common adverse reaction to insulin therapy?,Hypoglycaemia,Lipodystrophy,Urticaria,Angioedema,Hypoglycaemia
The insulin receptor is classified as which type of receptor?,Ion channel regulating receptor,Tyrosine protein kinase receptor,G-protein coupled receptor,None of the above,Tyrosine protein kinase receptor
Which insulin preparation is preferred in diabetic ketoacidosis?,Regular insulin,Lente insulin,Isophane insulin,70/30 mixture of plain and isophane insulin,Regular insulin
Which oral antidiabetic drug is least likely to cause lactic acidosis?,Phenformin,Metformin,Pioglitazone,Chlorpropamide,Metformin
Which of the following drugs acts by inhibiting intestinal brush border alpha-glucosidase enzymes?,Pioglitazone,Acarbose,Metformin,Guargum,Acarbose
Which of the following is NOT a mechanism of action of sulfonylureas?,Increasing insulin secretion from pancreas,Reducing intestinal absorption of glucose,Reversing down-regulation of insulin receptors,Both B and C are correct,Reducing intestinal absorption of glucose
Which of the following is a major limitation of thiazolidinediones in type 2 diabetes mellitus?,Frequent hypoglycaemic episodes,Hyperinsulinemia,Lactic acidosis,Low hypoglycaemic efficacy in moderate to severe cases,Low hypoglycaemic efficacy in moderate to severe cases
Which oral antidiabetic drug is preferred in obese type 2 diabetics?,Chlorpropamide,Metformin,Pioglitazone,Glibenclamide,Metformin
Which of the following drugs can precipitate hypoglycaemia if given with a sulfonylurea?,Phenobarbitone,Chloramphenicol,Rifampicin,Oral contraceptive,Chloramphenicol
Which antidiabetic drug limits postprandial hyperglycaemia by slowing carbohydrate absorption?,Acarbose,Metformin,Pioglitazone,Guargum,Guargum
Which of the following is NOT an action of insulin?,Facilitation of glucose transport into cells,Facilitation of glycogen synthesis by liver,Facilitation of neoglucogenesis by liver,Inhibition of lipolysis in adipose tissue,Facilitation of neoglucogenesis by liver
Which of the following is true regarding metformin?,Releases insulin from pancreas,Suppresses gluconeogenesis and glucose output from liver,Upregulates insulin receptors,Inhibits degradation of insulin,Suppresses gluconeogenesis and glucose output from liver
Which drug is used to reverse insulin resistance by increasing cellular glucose transporters?,Glibenclamide,Rosiglitazone,Acarbose,Prednisolone,Rosiglitazone
Sulfonylureas are ineffective in which group?,Nondiabetics,Type 1 diabetics,Type 2 diabetics,Obese diabetics,Type 1 diabetics
Which of the following is NOT a specific indication for the more expensive monocomponent/human insulins?,Insulin resistance,Pregnant diabetic,Sulfonylurea maintained diabetic posted for surgery,Type 1 diabetes mellitus,Type 1 diabetes mellitus
Which of the following oral hypoglycaemics acts by analogous mechanism to sulfonylureas but is not a sulfonylurea?,Glimepiride,Miglitol,Repaglinide,Rosiglitazone,Repaglinide
Which is the most common cause of insulin therapy failure in type 2 diabetes?,Non-compliance,Antibody formation,Obesity,Infection,Non-compliance
Which of the following is NOT a counterregulatory symptom of insulin hypoglycaemia?,They generally appear before neuroglucopenic symptoms,They are accentuated after long-term insulin treatment,They result from parasympathetic activation,They manifest as hunger and fatigue,They result from parasympathetic activation
Which is the primary indication for insulin therapy in type 2 diabetes?,Patients with ketoacidosis,Patients undergoing surgery,Pregnant diabetic,All of the above,All of the above
Which of the following is NOT a typical adverse effect of chlorpropamide?,Hypoglycaemic reaction,Alcohol intolerance reaction,Cholestatic jaundice,Weight gain,Weight gain
Which of the following is true about pioglitazone?,Acts as an agonist on nuclear PPAR receptor,Enhances transcription of insulin responsive genes,Lowers blood sugar in type 2 diabetes without causing hyperinsulinemia,All of the above,All of the above
Which of the following is NOT a feature disfavoring the use of oral hypoglycaemics?,Age at onset of disease over 40 years,Insulin requirement more than 40 U/day,Fasting blood sugar level between 100-200 mg/dl,Associated obesity,Fasting blood sugar level between 100-200 mg/dl
Which of the following is the most common adverse effect of metformin?,Lactic acidosis,Weight gain,Hypoglycaemia,Gastrointestinal upset,Gastrointestinal upset
Which drug is most likely to cause hypoglycaemia in elderly diabetics?,Gliclazide,Glipizide,Glyburide,Metformin,Glyburide
Which of the following drugs is NOT used in the management of diabetic ketoacidosis?,Insulin,Intravenous fluids,Potassium chloride,Sodium bicarbonate,Sodium bicarbonate
Which of the following antidiabetic drugs is contraindicated in renal failure?,Metformin,Glipizide,Repaglinide,Pioglitazone,Metformin
Which of the following drugs is least likely to cause weight gain?,Sulfonylureas,Insulin,Metformin,Thiazolidinediones,Metformin
Which of the following is a neuroglucopenic symptom of hypoglycaemia?,Sweating,Palpitation,Tremor,Abnormal behaviour,Abnormal behaviour
Which of the following is true about acarbose?,Reduces absorption of glucose from intestines,Produces hypoglycaemia in normal subjects,Limits postprandial hyperglycaemia in diabetics,Raises circulating insulin levels,Limits postprandial hyperglycaemia in diabetics
