Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the most common type of diabetes mellitus?,Type 1 diabetes,Type 2 diabetes,Gestational diabetes,MODY,Type 2 diabetes
Which hormone is deficient in Type 1 diabetes mellitus?,Glucagon,Insulin,Somatostatin,Cortisol,Insulin
Which of the following is NOT a typical symptom of diabetes mellitus?,Polyuria,Polydipsia,Weight gain,Polyphagia,Weight gain
What is the diagnostic threshold for fasting plasma glucose in diabetes mellitus (mg/dL)?,100,110,126,140,126
Which test provides an average blood glucose level over the past 2-3 months?,Random blood glucose,Oral glucose tolerance test,HbA1c,Urine glucose,HbA1c
Which of the following is a microvascular complication of diabetes?,Coronary artery disease,Stroke,Diabetic retinopathy,Hypertension,Diabetic retinopathy
Which of the following drugs is a biguanide?,Glibenclamide,Metformin,Pioglitazone,Repaglinide,Metformin
Which condition is characterized by insulin resistance?,Type 1 diabetes,Type 2 diabetes,Gestational diabetes,Diabetes insipidus,Type 2 diabetes
Which of the following is a risk factor for Type 2 diabetes?,Autoimmune disease,Obesity,Young age,Low birth weight,Obesity
Which of the following is NOT a typical feature of diabetic ketoacidosis?,Hyperglycemia,Metabolic alkalosis,Ketonuria,Dehydration,Metabolic alkalosis
Which of the following is used to screen for diabetic nephropathy?,Serum creatinine,Urine microalbumin,Urine glucose,Serum sodium,Urine microalbumin
Which of the following is a rapid-acting insulin?,Insulin glargine,Insulin detemir,Insulin lispro,Insulin NPH,Insulin lispro
Which of the following is a common acute complication of diabetes?,Diabetic nephropathy,Diabetic retinopathy,Diabetic ketoacidosis,Peripheral neuropathy,Diabetic ketoacidosis
Which of the following is the primary defect in MODY (Maturity Onset Diabetes of the Young)?,Insulin resistance,Autoimmune destruction of beta cells,Genetic defect in beta cell function,Obesity,Genetic defect in beta cell function
Which of the following is NOT a macrovascular complication of diabetes?,Peripheral arterial disease,Myocardial infarction,Diabetic neuropathy,Stroke,Diabetic neuropathy
Which of the following is a sulfonylurea?,Metformin,Pioglitazone,Glibenclamide,Acarbose,Glibenclamide
Which of the following is the best initial treatment for gestational diabetes?,Insulin,Metformin,Oral hypoglycemic agents,Diet and exercise,Diet and exercise
Which of the following is NOT a sign of hypoglycemia?,Sweating,Palpitations,Confusion,Hypertension,Hypertension
Which of the following is the most appropriate management for a conscious patient with mild hypoglycemia?,Administer IV glucose,Administer IM glucagon,Give oral glucose,Start insulin infusion,Give oral glucose
Which of the following is a long-term complication of poorly controlled diabetes?,Diabetic ketoacidosis,Hyperosmolar hyperglycemic state,Diabetic retinopathy,Acute pancreatitis,Diabetic retinopathy
Which of the following is the most common cause of death in diabetic patients?,Renal failure,Myocardial infarction,Infections,Stroke,Myocardial infarction
Which of the following statements about insulin is TRUE?,It increases blood glucose,It stimulates gluconeogenesis,It promotes glycogen synthesis,It inhibits glucose uptake,It promotes glycogen synthesis
Which of the following is the main mechanism of action of metformin?,Stimulates insulin secretion,Increases glucose absorption,Decreases hepatic gluconeogenesis,Inhibits glucagon secretion,Decreases hepatic gluconeogenesis
Which of the following is a contraindication to metformin use?,Obesity,Renal impairment,Hypertension,Hyperlipidemia,Renal impairment
Which of the following is a feature of diabetic neuropathy?,Proximal muscle weakness,Loss of vibration sense,Spasticity,Hyperreflexia,Loss of vibration sense
Which of the following is the best screening test for gestational diabetes?,Fasting plasma glucose,Random plasma glucose,Oral glucose tolerance test,HbA1c,Oral glucose tolerance test
Which of the following is NOT a risk factor for gestational diabetes?,Obesity,Family history of diabetes,Age < 25 years,Previous macrosomic baby,Age < 25 years
Which of the following is a typical finding in diabetic retinopathy?,Cherry red spot,Microaneurysms,Optic atrophy,Retinal detachment,Microaneurysms
Which of the following is the preferred site for insulin injection?,Deltoid,Abdomen,Forearm,Thigh,Abdomen
Which of the following is NOT recommended for the management of diabetic foot ulcers?,Glycemic control,Regular foot inspection,Smoking cessation,Prolonged bed rest,Prolonged bed rest
Which of the following is a characteristic of hyperosmolar hyperglycemic state (HHS)?,Ketosis present,Severe dehydration,Common in Type 1 diabetes,Occurs in children,Severe dehydration
