Question,Option A,Option B,Option C,Option D,Correct Answer
Which enzyme is targeted by nucleoside reverse transcriptase inhibitors (NRTIs) in HIV therapy,Reverse transcriptase,Integrase,Protease,Neuraminidase,Reverse transcriptase
Which of the following antiretroviral drugs is a non-nucleoside reverse transcriptase inhibitor (NNRTI),Efavirenz,Abacavir,Tenofovir,Atazanavir,Efavirenz
Which of the following is a protease inhibitor used in HIV treatment,Ritonavir,Nevirapine,Enfuvirtide,Maraviroc,Ritonavir
The primary mechanism of action of zidovudine (AZT) is,Inhibition of reverse transcriptase,Inhibition of viral entry,Inhibition of integrase,Inhibition of viral protease,Inhibition of reverse transcriptase
Which of the following drugs is recommended for post-exposure prophylaxis (PEP) of HIV,Tenofovir plus emtricitabine plus raltegravir,Efavirenz monotherapy,Nevirapine plus abacavir,Maraviroc plus lamivudine,Tenofovir plus emtricitabine plus raltegravir
Which HIV drug class prevents the maturation of new virions,Protease inhibitors,Integrase inhibitors,Fusion inhibitors,CCR5 antagonists,Protease inhibitors
The most common side effect of zidovudine is,Anemia,Nephrotoxicity,Peripheral neuropathy,Pancreatitis,Anemia
Which of the following is a fusion inhibitor used in HIV therapy,Enfuvirtide,Efavirenz,Abacavir,Saquinavir,Enfuvirtide
Which of the following is NOT a recommended combination for initial antiretroviral therapy,Stavudine plus zidovudine,Tenofovir plus lamivudine plus efavirenz,Abacavir plus lamivudine plus dolutegravir,Tenofovir plus emtricitabine plus raltegravir,Stavudine plus zidovudine
Which of the following is an integrase inhibitor,Raltegravir,Efavirenz,Indinavir,Nevirapine,Raltegravir
Which of the following best describes the goal of antiretroviral therapy in HIV infection,Maximal and durable suppression of viral replication,Eradication of HIV from the body,Intermittent suppression of viral load,Prevention of all opportunistic infections,Maximal and durable suppression of viral replication
Which of the following is a common adverse effect of protease inhibitors,Lipodystrophy,Neutropenia,Nephrolithiasis,Peripheral neuropathy,Lipodystrophy
Which drug is commonly associated with hypersensitivity reactions in HIV therapy,Abacavir,Efavirenz,Tenofovir,Nevirapine,Abacavir
