Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the most common cause of left-sided heart failure in adults?,Hypertension,Coronary artery disease,Diabetes mellitus,Valvular heart disease,Coronary artery disease
What is the first-line treatment for acute anaphylactic shock?,IV steroids,IV fluids,Intramuscular epinephrine,Oral antihistamines,Intramuscular epinephrine
Which of the following is a cardinal symptom of systolic heart failure?,Bradycardia,Orthopnea,Polyuria,Hypercalcemia,Orthopnea
A patient with a history of hypertension presents with a crescendo-decrescendo systolic murmur at the right upper sternal border. What is the most likely diagnosis?,Mitral regurgitation,Aortic stenosis,Tricuspid regurgitation,Pulmonary stenosis,Aortic stenosis
Which of the following is the most specific cardiac biomarker for acute myocardial infarction?,LDH,CK-MB,AST,Troponin,Troponin
Which of the following is the most common cause of atrial fibrillation in the elderly?,Thyrotoxicosis,Chronic lung disease,Hypertension,Alcohol abuse,Hypertension
Which of the following is the most common cause of community-acquired pneumonia?,Streptococcus pneumoniae,Staphylococcus aureus,Haemophilus influenzae,Pseudomonas aeruginosa,Streptococcus pneumoniae
Which of the following is the most common cause of nephrotic syndrome in adults?,Diabetes mellitus,Minimal change disease,Membranous nephropathy,IgA nephropathy,Diabetes mellitus
Which of the following is the most common cause of chronic liver disease worldwide?,Alcoholic liver disease,Nonalcoholic fatty liver disease,Chronic hepatitis B,Chronic hepatitis C,Chronic hepatitis B
Which of the following is the most common cause of hypercalcemia in hospitalized patients?,Primary hyperparathyroidism,Malignancy,Vitamin D intoxication,Thiazide diuretics,Malignancy
Which of the following is the best initial test for suspected pulmonary embolism in a stable patient?,Chest X-ray,CT pulmonary angiography,V/Q scan,Lower limb Doppler,CT pulmonary angiography
Which of the following is the most common cause of acute pancreatitis?,Alcohol,Hypertriglyceridemia,Cholelithiasis,Drugs,Cholelithiasis
Which of the following is the first-line therapy for chronic heart failure with reduced ejection fraction?,Beta-blockers,ACE inhibitors,Digoxin,Loop diuretics,ACE inhibitors
Which of the following is the most common cause of secondary hypertension?,Renal artery stenosis,Primary aldosteronism,Pheochromocytoma,Coarctation of aorta,Renal artery stenosis
Which of the following is the most common cause of upper gastrointestinal bleeding?,Peptic ulcer disease,Esophageal varices,Gastric cancer,Mallory-Weiss tear,Peptic ulcer disease
Which of the following is the most common cause of microcytic anemia worldwide?,Iron deficiency,Thalassemia,Anemia of chronic disease,Sideroblastic anemia,Iron deficiency
Which of the following is the most common cause of hyperthyroidism in young women?,Toxic multinodular goiter,Graves' disease,Thyroid adenoma,Subacute thyroiditis,Graves' disease
