Question,Option A,Option B,Option C,Option D,Correct Answer
"Sepsis is defined as:",Life-threatening organ dysfunction caused by a dysregulated host response to infection,Systemic inflammatory response syndrome (SIRS) with a proven infection,Presence of bacteria in the bloodstream,Multiorgan failure due to any cause,Life-threatening organ dysfunction caused by a dysregulated host response to infection
"Which of the following is NOT a criterion for SIRS?",Temperature >38°C or 90 beats per minute,Respiratory rate >20 breaths per minute,Blood pressure 38°C,Temperature >38°C
"Which of the following is a component of the Sequential Organ Failure Assessment (SOFA) score?",Serum lactate level,Urine output,Platelet count,White blood cell count,Platelet count
"The first-line vasopressor recommended in septic shock is:",Norepinephrine,Epinephrine,Vasopressin,Dopamine,Norepinephrine
"Which of the following is NOT a common source of sepsis?",Respiratory tract,Urinary tract,Gastrointestinal tract,Skeletal muscle,Skeletal muscle
"The recommended initial fluid resuscitation in sepsis is:",Crystalloids at 30 mL/kg,Colloids at 30 mL/kg,Albumin at 20 mL/kg,Blood products at 10 mL/kg,Crystalloids at 30 mL/kg
"Septic shock is characterized by:",Hypotension refractory to fluid resuscitation requiring vasopressors,Fever and tachycardia,Elevated white blood cell count,Positive blood cultures,Hypotension refractory to fluid resuscitation requiring vasopressors
"Which of the following is NOT typically elevated in sepsis?",C-reactive protein,Procalcitonin,Serum lactate,Hemoglobin,Hemoglobin
"The recommended timing for administration of antibiotics in sepsis is:",Within 1 hour of recognition,Within 3 hours of recognition,Within 6 hours of recognition,Within 12 hours of recognition,Within 1 hour of recognition
"Which of the following is NOT a common organism causing sepsis?",Escherichia coli,Staphylococcus aureus,Klebsiella pneumoniae,Helicobacter pylori,Helicobacter pylori
"Maternal sepsis is associated with which of the following risk factors?",Prolonged rupture of membranes,Cesarean section,Retained products of conception,All of the above,All of the above
"Which of the following is a sign of end-organ dysfunction in sepsis?",Elevated serum creatinine,Elevated bilirubin,Hypoxemia,All of the above,All of the above
"The most common cause of sepsis in pregnancy and postpartum period is:",Genital tract infection,Urinary tract infection,Respiratory tract infection,Wound infection,Genital tract infection
"Which of the following is NOT a complication of sepsis?",Acute respiratory distress syndrome,Disseminated intravascular coagulation,Acute kidney injury,Hypercalcemia,Hypercalcemia
"In septic shock patients with persistent hypotension despite adequate fluid resuscitation and norepinephrine the next recommended step is:",Add vasopressin,Add epinephrine,Add dobutamine,Add hydrocortisone,Add vasopressin
"Which of the following is NOT a component of the Surviving Sepsis Campaign bundle?",Administration of antibiotics within 1 hour,Measurement of serum lactate,Obtaining blood cultures before antibiotics,Administration of activated protein C,Administration of activated protein C
"Sepsis-induced coagulopathy is characterized by:",Thrombocytopenia,Elevated D-dimer,Prolonged prothrombin time,All of the above,All of the above
"Which of the following is a risk factor for developing sepsis?",Advanced age,Immunosuppression,Chronic medical conditions,All of the above,All of the above
"The pathophysiology of sepsis involves:",Excessive inflammation,Immune suppression,Coagulation abnormalities,All of the above,All of the above
"Which of the following is NOT a common manifestation of sepsis in elderly patients?",Altered mental status,Hypothermia,Tachycardia,Fever,Fever
"The recommended target mean arterial pressure (MAP) in septic shock is:",≥65 mmHg,≥75 mmHg,≥85 mmHg,≥95 mmHg,≥65 mmHg
"Which of the following is NOT recommended in the management of sepsis?",Early administration of appropriate antibiotics,Goal-directed fluid resuscitation,Routine use of corticosteroids,Source control,Routine use of corticosteroids
"Sepsis-induced myocardial dysfunction is characterized by:",Decreased ejection fraction,Ventricular dilation,Reversibility within 7-10 days,All of the above,All of the above
"Which of the following is NOT a common laboratory finding in sepsis?",Leukocytosis,Thrombocytopenia,Elevated C-reactive protein,Hyperkalemia,Hyperkalemia
"The most appropriate initial antibiotic regimen for sepsis should be:",Broad-spectrum covering likely pathogens,Narrow-spectrum targeting the most likely pathogen,Based on previous culture results only,Delayed until culture results are available,Broad-spectrum covering likely pathogens
"Which of the following is NOT a component of the Sepsis-3 definition?",Life-threatening organ dysfunction,Dysregulated host response to infection,SIRS criteria,Suspected or documented infection,SIRS criteria
"Fitz-Hugh-Curtis syndrome is a complication of which infection that can lead to sepsis?",Pelvic inflammatory disease,Pneumonia,Urinary tract infection,Cellulitis,Pelvic inflammatory disease
"Which of the following is NOT a common cause of sepsis in postpartum women?",Endometritis,Mastitis,Urinary tract infection,Appendicitis,Appendicitis
"The recommended duration of antibiotic therapy for most cases of sepsis is:",7-10 days,3-5 days,14-21 days,30 days,7-10 days
"Which of the following is a poor prognostic factor in sepsis?",Elevated lactate that does not clear with resuscitation,Hypotension responsive to fluid resuscitation,Leukocytosis,Normal platelet count,Elevated lactate that does not clear with resuscitation
"Which of the following is NOT a typical feature of toxic shock syndrome?",Diffuse erythematous rash,Hypotension,Multiorgan dysfunction,Leukopenia,Leukopenia
"The primary mechanism of action of vasopressors in septic shock is:",Increasing systemic vascular resistance,Increasing cardiac output,Improving microcirculation,Reducing inflammation,Increasing systemic vascular resistance
"Which of the following is NOT a common cause of healthcare-associated sepsis?",Central line-associated bloodstream infections,Ventilator-associated pneumonia,Catheter-associated urinary tract infections,Food poisoning,Food poisoning
"In sepsis the recommended target for hemoglobin during transfusion is:",7 g/dL in the absence of specific indications,9 g/dL in all patients,10 g/dL in the absence of specific indications,12 g/dL in all patients,7 g/dL in the absence of specific indications
"Which of the following is NOT a common cause of neonatal sepsis?",Group B Streptococcus,Escherichia coli,Listeria monocytogenes,Helicobacter pylori,Helicobacter pylori
"The recommended approach to mechanical ventilation in sepsis-induced ARDS includes:",Low tidal volume strategy,High PEEP strategy,Prone positioning in severe cases,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis-induced encephalopathy?",Altered mental status,Seizures,Focal neurological deficits,Agitation,Focal neurological deficits
"Sepsis-induced acute kidney injury is characterized by:",Decreased glomerular filtration rate,Oliguria,Elevated serum creatinine,All of the above,All of the above
"Which of the following is NOT a recommended strategy for sepsis prevention?",Hand hygiene,Vaccination,Antibiotic stewardship,Prophylactic antibiotics for all hospitalized patients,Prophylactic antibiotics for all hospitalized patients
"The most common cause of community-acquired sepsis is:",Pneumonia,Urinary tract infection,Intra-abdominal infection,Skin and soft tissue infection,Pneumonia
"Which of the following is NOT a component of the Hour-1 Sepsis Bundle?",Measure lactate level,Obtain blood cultures,Administer broad-spectrum antibiotics,Complete a fluid challenge of 30 mL/kg within 3 hours,Complete a fluid challenge of 30 mL/kg within 3 hours
"Sepsis in burn patients is commonly caused by:",Pseudomonas aeruginosa,Staphylococcus aureus,Acinetobacter baumannii,All of the above,All of the above
"Which of the following is NOT a typical feature of meningococcal sepsis?",Petechial rash,Rapid progression,High mortality,Slow onset over several days,Slow onset over several days
"The recommended approach to glucose management in sepsis includes:",Maintaining blood glucose ≤180 mg/dL,Tight glucose control (80-110 mg/dL),Allowing hyperglycemia up to 220 mg/dL,No glucose management required,Maintaining blood glucose ≤180 mg/dL
"Which of the following is NOT a typical feature of sepsis in neutropenic patients?",Absence of pus at infection sites,Subtle clinical manifestations,Higher mortality,Leukocytosis,Leukocytosis
"Sepsis-induced ileus is characterized by:",Decreased intestinal motility,Abdominal distension,Absent bowel sounds,All of the above,All of the above
"Which of the following is NOT a component of the Sepsis Six bundle?",Administer oxygen,Give intravenous antibiotics,Take blood cultures,Perform chest X-ray,Perform chest X-ray
"The primary mechanism of sepsis-induced hypotension is:",Vasodilation,Myocardial depression,Hypovolemia,All of the above,All of the above
"Which of the following is NOT a risk factor for multidrug-resistant organisms in sepsis?",Prior antibiotic use,Healthcare-associated infection,Recent hospitalization,Young age,Young age
"Sepsis-induced coagulopathy can lead to:",Disseminated intravascular coagulation,Thrombotic microangiopathy,Venous thromboembolism,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis in the elderly?",Subtle presentation,Higher mortality,Longer hospital stay,Lower incidence compared to younger adults,Lower incidence compared to younger adults
"The recommended approach to stress ulcer prophylaxis in sepsis includes:",Use only in patients with risk factors for gastrointestinal bleeding,Routine use in all septic patients,Avoid in all septic patients,Use only in patients with respiratory failure,Use only in patients with risk factors for gastrointestinal bleeding
"Which of the following is NOT a typical feature of sepsis-induced liver dysfunction?",Hyperbilirubinemia,Elevated transaminases,Decreased synthesis of clotting factors,Hyperglycemia,Hyperglycemia
"The recommended approach to nutrition in sepsis includes:",Early enteral nutrition when feasible,Parenteral nutrition as first choice,Withholding nutrition for 72 hours,High-protein parenteral nutrition for all,Early enteral nutrition when feasible
"Which of the following is NOT a typical feature of sepsis-induced adrenal insufficiency?",Hypotension refractory to fluids and vasopressors,Hyponatremia,Hyperkalemia,Hypoglycemia,Hypoglycemia
"Sepsis-induced immunosuppression is characterized by:",Lymphocyte apoptosis,Decreased HLA-DR expression on monocytes,Impaired neutrophil function,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis-induced thrombocytopenia?",Platelet count 2 mmol/L,Need for vasopressors to maintain MAP ≥65 mmHg,Hypotension despite adequate fluid resuscitation,Hyperkalemia,Hyperkalemia
"The recommended approach to corticosteroid use in sepsis includes:",Use only in septic shock refractory to fluids and vasopressors,Routine use in all septic patients,High-dose short-duration therapy,Avoid in all septic patients,Use only in septic shock refractory to fluids and vasopressors
"Which of the following is NOT a typical feature of maternal sepsis?",Tachycardia,Hypotension,Oliguria,Hyperglycemia,Hyperglycemia
"The primary mechanism of action of fluid resuscitation in sepsis is:",Increasing preload to improve cardiac output,Directly increasing blood pressure,Reducing inflammation,Improving microcirculation,Increasing preload to improve cardiac output
"Which of the following is NOT a typical feature of sepsis in immunocompromised patients?",Atypical pathogens,Higher mortality,Subtle clinical presentation,Lower incidence compared to immunocompetent patients,Lower incidence compared to immunocompetent patients
"Sepsis-induced acute respiratory distress syndrome (ARDS) is characterized by:",Bilateral pulmonary infiltrates,Hypoxemia refractory to oxygen therapy,Non-cardiogenic pulmonary edema,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis in children?",Higher cardiac output compared to adults,Lower systemic vascular resistance compared to adults,Hypotension as a late finding,Lower incidence compared to adults,Lower incidence compared to adults
"The recommended approach to venous thromboembolism (VTE) prophylaxis in sepsis includes:",Low molecular weight heparin unless contraindicated,Therapeutic anticoagulation for all patients,Mechanical prophylaxis only,No prophylaxis needed,Low molecular weight heparin unless contraindicated
"Which of the following is NOT a typical feature of sepsis-induced hypoglycemia?",Impaired gluconeogenesis,Increased peripheral glucose utilization,Decreased insulin clearance,Improved prognosis compared to hyperglycemia,Improved prognosis compared to hyperglycemia
"The recommended approach to blood product transfusion in sepsis includes:",Restrictive transfusion strategy in most patients,Liberal transfusion strategy in all patients,Platelet transfusion for counts 180 mg/dL,Tight glycemic control (80-110 mg/dL),No glycemic control needed,Allowing hyperglycemia up to 220 mg/dL,Insulin therapy for blood glucose >180 mg/dL
"Which of the following is NOT a typical feature of sepsis in patients with chronic obstructive pulmonary disease (COPD)?",Higher risk of respiratory failure,Increased work of breathing,Altered mental status,Lower incidence compared to patients without COPD,Lower incidence compared to patients without COPD
"Sepsis-induced thrombocytopenia is characterized by:",Platelet count <150000/μL,Increased risk of bleeding,Multifactorial etiology,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis in patients with heart failure?",Higher risk of cardiac decompensation,Fluid management challenges,Altered drug pharmacokinetics,Lower incidence compared to patients without heart failure,Lower incidence compared to patients without heart failure
"The recommended approach to mechanical ventilation in sepsis-induced ARDS includes:",Low tidal volume (6 mL/kg predicted body weight),High tidal volume (10-12 mL/kg predicted body weight),No PEEP,Supine positioning only,Low tidal volume (6 mL/kg predicted body weight)
"Which of the following is NOT a typical feature of sepsis in patients with malignancy?",Higher risk of infection,Atypical pathogens,Masked inflammatory response,Lower mortality compared to patients without malignancy,Lower mortality compared to patients without malignancy
"Sepsis-induced hyperglycemia is characterized by:",Insulin resistance,Increased hepatic glucose production,Impaired peripheral glucose utilization,All of the above,All of the above
"Which of the following is NOT a typical feature of sepsis in patients with rheumatoid arthritis?",Higher risk of infection due to immunosuppressive therapy,Masked inflammatory response,Altered drug pharmacokinetics,Lower incidence compared to the general population,Lower incidence compared to the general population
"The recommended approach to fluid resuscitation in sepsis includes:",Crystalloids as first choice,Colloids as first choice,Albumin as first choice,Blood products as first choice,Crystalloids as first choice
