Question,Option A,Option B,Option C,Option D,Correct Answer
What is the most common cause of severe hemolytic disease of the newborn?,Rh antibody,Kell antibody,Duffy antibody,ABO incompatibility,Rh antibody
Which Rh antigen is absent in Rh-negative individuals?,E antigen,e antigen,C antigen,D antigen,D antigen
What is the genetic location of the RhCE and RhD genes?,Chromosome 7,Chromosome 9,Chromosome 11,Chromosome 1,Chromosome 1
What percentage of Rh-positive individuals are homozygous for the RhD gene?,25%,70%,55%,45%,45%
Which IgG subclass is most efficient in causing hemolysis in Rh incompatibility?,IgG1,IgG2,IgG4,IgG3,IgG3
What is the risk of Rh immunization after delivery of the first Rh-positive fetus to an Rh-negative mother with ABO compatibility?,5%,25%,2%,16%,16%
How does ABO incompatibility affect Rh sensitization risk?,Only affects if mother is type A,Increases risk,Decreases risk,No effect,Decreases risk
In ABO incompatibility, which maternal blood type is most commonly involved?,Type A,Type B,Type AB,Type O
Which antibody class usually causes hemolysis in ABO incompatibility?,IgE,IgM,IgA,IgG,IgG
What is a typical peripheral blood film finding in ABO incompatibility?,Few spherocytes,Many spherocytes and few erythroblasts,Many erythroblasts and few spherocytes,Many nucleated RBCs,Many spherocytes and few erythroblasts
Which antigen expression is lower on fetal RBCs in ABO incompatibility?,AB antigens,O antigen,A antigen,B antigen,AB antigens
What is the predominant antibody subclass found in ABO incompatible neonates with positive direct Coombs test?,IgG2,IgG3,IgG4,IgG1,IgG2
What is the main clinical manifestation of ABO incompatibility in neonates?,Hepatosplenomegaly,Severe anemia,Hydrops fetalis,Hyperbilirubinemia,Hyperbilirubinemia
Which blood group system is the second most important after ABO in transfusion medicine?,Duffy,Jk,Kell,Rh,Rh
What is the most common cause of hemolysis in type O mothers with ABO incompatible fetus?,IgM anti-A antibodies,IgG anti-B antibodies,IgG anti-A antibodies,IgM anti-B antibodies,IgG anti-A antibodies
Which Rh gene mutation leads to a stop codon and lack of RhD protein expression?,RhCE mutation,RhD deletion,RHD pseudogene,RHD-CE-D hybrid,RHD pseudogene
What is the usual outcome of hemolytic disease caused by ABO incompatibility compared to Rh incompatibility?,More erythroblastosis fetalis,More hyperbilirubinemia,More severe anemia,More hydrops fetalis,More hyperbilirubinemia
Which antibody class crosses the placenta and causes hemolysis in ABO incompatibility?,IgG,IgE,IgA,IgM,IgG
What is the typical direct Coombs test positivity rate in ABO incompatibility?,5-10%,90-100%,60-80%,20-40%,20-40%
Which factor reduces the likelihood of Rh sensitization in an Rh-negative mother?,Fetal ABO incompatibility,Maternal ABO compatibility,Fetal Rh positivity,Maternal Rh positivity,Fetal ABO incompatibility
What is the main difference in blood film findings between Rh and ABO incompatibility?,ABO shows many spherocytes,ABO shows many nucleated RBCs,Rh shows many spherocytes,Rh shows many nucleated RBCs,Rh shows many nucleated RBCs
Which antibody subclass is predominant in severe hemolysis in ABO incompatibility?,IgG2,IgG3,IgG1,IgG4,IgG1
What is the frequency of ABO incompatibility in pregnancies?,Approximately 5%,Approximately 12%,Less than 1%,Approximately 25%,Approximately 12%
Which Rh antigen is encoded by the RhD gene?,E antigen,C antigen,e antigen,D antigen,D antigen
What is the mechanism by which ABO incompatibility reduces Rh sensitization?,Placental barrier enhancement,Increased antibody production,Decreased fetal RBC antigen expression,Rapid destruction of incompatible RBCs,Rapid destruction of incompatible RBCs
What is the inheritance pattern of Rh antigens?,Mitochondrial,Complex with multiple loci,Autosomal recessive,Autosomal dominant,Complex with multiple loci
Which antibody is responsible for the secondary immune response in Rh sensitization?,IgE,IgA,IgM,IgG,IgG
What is the common clinical test used to detect antibodies bound to fetal RBCs?,Indirect Coombs test,Direct Coombs test,Western blot,ELISA,Direct Coombs test
Which blood group incompatibility is more likely to cause hydrops fetalis?,Rh incompatibility,Kell incompatibility,Duffy incompatibility,ABO incompatibility,Rh incompatibility
What is the primary antigen involved in Rh incompatibility?,E antigen,C antigen,D antigen,e antigen,D antigen
Which maternal blood type is least likely to cause ABO hemolytic disease?,Type O,Type B,Type A,Type AB,Type AB
What is the typical presentation of hemolytic disease due to Rh incompatibility?,No anemia,Hepatosplenomegaly without anemia,Severe anemia with erythroblastosis fetalis,Mild anemia with spherocytes,Severe anemia with erythroblastosis fetalis
What is the role of anti-D immunoglobulin in Rh incompatibility?,Prevents maternal sensitization,Increases antibody production,Enhances hemolysis,Neutralizes fetal RBCs,Prevents maternal sensitization
Which antibody class is naturally occurring and usually does not cross the placenta?,IgE,IgM,IgA,IgG,IgM
What is the significance of a positive direct Coombs test in a newborn?,Indicates antibody-coated RBCs,Indicates infection,Indicates leukopenia,Indicates thrombocytopenia,Indicates antibody-coated RBCs
Which antigen system besides Rh can cause severe hemolytic disease of the newborn?,Duffy,MNSs,ABO,Kell,Kell
What is the typical antibody response after a second exposure to Rh-positive RBCs?,IgA response,Secondary IgG response,No response,Primary IgM response,Secondary IgG response
What is the main reason ABO incompatibility hemolysis is usually less severe than Rh incompatibility?,IgM antibodies involved,No placental transfer of antibodies,Lower antigen expression on fetal RBCs,Higher antibody titers,Lower antigen expression on fetal RBCs
Which population has a high prevalence of the RHD pseudogene?,Asians,Whites,South African Blacks,Hispanics,South African Blacks
