Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is a life-threatening maternal complication of preeclampsia?,Eclamptic seizures,Pulmonary embolism,Gestational diabetes,Placenta previa,Eclamptic seizures
What laboratory finding is characteristic of HELLP syndrome?,Thrombocytopenia with platelets less than 100k/µL,Hyperglycemia,Elevated thyroid hormones,Leukopenia,Thrombocytopenia with platelets less than 100k/µL
A common severe complication of eclampsia affecting the central nervous system is?,Permanent CNS damage due to recurrent seizures,Heart failure,Liver cirrhosis,Kidney stones,Permanent CNS damage due to recurrent seizures
Which syndrome includes microangiopathic hemolysis, elevated liver enzymes, and low platelets?,HELLP syndrome,Gestational diabetes syndrome,Preeclampsia syndrome,Antiphospholipid syndrome,HELLP syndrome
What is the major maternal risk associated with premature rupture of membranes?,Intra-amniotic infection,Placenta previa,Eclampsia,Gestational hypertension,Intra-amniotic infection
Which maternal complication is associated with acute fatty liver of pregnancy?,Hepatic rupture,Pulmonary embolism,Stroke,Renal artery thrombosis,Hepatic rupture
Pulmonary edema in preeclampsia can be caused by all except?,Excess IV fluid administration,Myocardial dysfunction,Pulmonary embolism,Vasospasm of renal vessels,Pulmonary embolism
What is the estimated maternal mortality rate in intestinal obstruction during pregnancy?,10-20%,5%,30-40%,1-2%,10-20%
Which neurological complication has an increased risk after eclampsia?,Epilepsy,Cerebral palsy,Alzheimer disease,Parkinson disease,Epilepsy
What hormone is secreted during pregnancy that affects connective tissue remodeling?,Relaxin,Progesterone,Estrogen,Oxytocin,Relaxin
Which maternal complication can lead to disseminated intravascular coagulation during pregnancy?,Placental abruption,Gestational diabetes,Hyperemesis gravidarum,Uterine fibroids,Placental abruption
Acute renal failure in preeclampsia often results from?,Vasospasm and acute tubular necrosis,Renal artery stenosis,Urinary tract infection,Hydronephrosis,Vasospasm and acute tubular necrosis
Which of the following is NOT a typical complication of eclampsia?,Asthma exacerbation,Renal insufficiency,Hepatic rupture,DIC,Asthma exacerbation
