Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is a common symptom of early pregnancy?,Backache,Varicose veins,Missed period,Headache,Missed period
Morning sickness typically begins at what gestational age?,4-6 weeks,20-22 weeks,12-14 weeks,28-30 weeks,4-6 weeks
Which hormone is primarily responsible for maintaining early pregnancy?,Oxytocin,Progesterone,Estrogen,hCG,hCG
What is the most reliable clinical method to confirm pregnancy?,Breast tenderness,Increased appetite,Urine hCG test,Fatigue,Urine hCG test
Which symptom is more associated with later pregnancy?,Cravings,Constipation,Nausea and vomiting,Frequent urination,Constipation
Which test directly visualizes the fetus to confirm pregnancy?,Blood glucose test,X-ray,Urine microscopy,Ultrasound,Ultrasound
What is the first biochemical marker detectable after fertilization?,Estrogen,Progesterone,hCG,Prolactin,hCG
Which of these is NOT typically a sign of early pregnancy?,Vaginal spotting,Missed period,Breast tenderness,Arm swelling,Arm swelling
What clinical sign can be used to assess fetal well-being during late pregnancy?,Fetal heart rate monitoring,Fetal movements,Urine protein,Maternal blood pressure,Fetal heart rate monitoring
Which is a non-invasive test to assess fetal maturity?,Fetal MRI,Fetal biopsy,Amniotic fluid index,Fetal skin biopsy,Amniotic fluid index
Which condition is a risk factor for fetal abnormalities?,Multiparity,Maternal exercise,Maternal diabetes,Regular prenatal vitamins,Maternal diabetes
What test is commonly used to detect chromosomal abnormalities?,Electrocardiogram,CT scan,Nuchal translucency ultrasound,Chest X-ray,Nuchal translucency ultrasound
Which fetal abnormality can be detected by elevated maternal serum alpha-fetoprotein?,Down syndrome,Tay-Sachs disease,Neural tube defect,Cystic fibrosis,Neural tube defect
What is the role of Doppler ultrasound in pregnancy?,Detect maternal bleeding,Monitor maternal pulse,Measure fetal size,Assess fetal blood flow,Assess fetal blood flow
Which symptom requires urgent investigation for pregnancy complications?,Vaginal bleeding,Mild headache,Craving unusual foods,Increased urination,Vaginal bleeding
Which of these methods assesses fetal lung maturity?,Amniocentesis with Lecithin/Sphingomyelin ratio,Non-stress test,Blood pressure monitoring,Urine hCG,Amniocentesis with Lecithin/Sphingomyelin ratio
A common sign of severe morning sickness that requires medical attention is?,Nausea,Dehydration,Backache,Headache,Dehydration
Which test can confirm fetal death during pregnancy?,High blood pressure,Elevated hCG,Absence of fetal heart tones on ultrasound,Low progesterone,Absence of fetal heart tones on ultrasound
