Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the approximate incidence of twin pregnancies worldwide?,1 in 20 births,1 in 80 births,1 in 250 births,1 in 500 births,1 in 80 births
What factor most significantly increases the incidence of dizygotic twinning?,Advanced maternal age,Use of assisted reproductive technologies,Maternal smoking,High parity,Use of assisted reproductive technologies
Monozygotic twins always share which of the following?,Chorion,Amnion,Placenta,Genetic material,Genetic material
Which type of twin pregnancy is associated with the highest risk of complications?,Dichorionic diamniotic,Monochorionic diamniotic,Monochorionic monoamniotic,Dizygotic twins,Monochorionic monoamniotic
In twin pregnancies, the term "chorionicity" refers to what?,Number of amniotic sacs,Number of placentas,Number of fetuses,Number of umbilical cords,Number of placentas
Which diagnostic tool is considered gold standard for determining chorionicity in early pregnancy?,MRI,Ultrasound at 11-14 weeks,CT scan,Amniocentesis,Ultrasound at 11-14 weeks
What is the typical zygosity of monochorionic twins?,Dizygotic,Monozygotic,Polygotic,Conjoined,Monozygotic
Which maternal complication is most commonly increased in multiple pregnancies?,Gestational diabetes,Pre-eclampsia,Placenta previa,Hyperemesis gravidarum,Pre-eclampsia
Which fetal complication is specifically associated with monochorionic twin pregnancies?,Twin-to-twin transfusion syndrome,Neural tube defects,Chromosomal abnormalities,Intrauterine growth restriction in one twin only,Twin-to-twin transfusion syndrome
In twin-to-twin transfusion syndrome, the donor twin typically presents with which condition?,Polyhydramnios,Oligohydramnios,Hydrops fetalis,Macrosomia,Oligohydramnios
What is the recommended gestational age for delivery in uncomplicated dichorionic diamniotic twin pregnancies?,37-38 weeks,39-40 weeks,34-35 weeks,41-42 weeks,37-38 weeks
Which of the following is NOT a typical feature of monochorionic monoamniotic twins?,Shared amniotic sac,High risk of cord entanglement,Separate placentas,Monozygotic origin,Separate placentas
Which antenatal surveillance method is essential in monochorionic twin pregnancies?,Biweekly ultrasound,Amniocentesis,Weekly non-stress tests,Monthly MRI,Biweekly ultrasound
What is the main purpose of serial ultrasound in multiple pregnancies?,Detect fetal anomalies,Monitor fetal growth and amniotic fluid,Assess placental location,Determine fetal sex,Monitor fetal growth and amniotic fluid
Which of the following is a common postpartum complication in multiple pregnancies?,Postpartum hemorrhage,Postpartum thyroiditis,Postpartum depression,Endometritis,Postpartum hemorrhage
Which hormone is typically elevated in multiple pregnancies compared to singleton pregnancies?,Progesterone,Human chorionic gonadotropin (hCG),Estrogen,Oxytocin,Human chorionic gonadotropin (hCG)
Which of the following is a key factor in determining the management of twin pregnancies?,Gestational age,Chorionicity,Zygosity,Parity,Chorionicity
What is the most common cause of preterm birth in multiple pregnancies?,Spontaneous preterm labor,Pre-eclampsia,Placental abruption,Intrauterine infection,Spontaneous preterm labor
Which of the following is true about zygosity in dizygotic twins?,They share the same placenta,They are genetically identical,They always have separate chorions,They are always monochorionic,They always have separate chorions
What is the main risk factor for developing twin-to-twin transfusion syndrome?,Dizygotic twinning,Monochorionic placentation,Monozygotic dichorionic twins,High maternal age,Monochorionic placentation
Which of the following best describes the amnionicity in dizygotic twins?,Always monoamniotic,Always diamniotic,Sometimes monoamniotic,Always monochorionic,Always diamniotic
Which maternal condition is more prevalent in multiple pregnancies compared to singleton pregnancies?,Hyperthyroidism,Anemia,Chronic hypertension,Gestational diabetes,Gestational diabetes
What is the typical management approach for monochorionic monoamniotic twins?,Elective cesarean delivery at 32-34 weeks,Expectant management until 40 weeks,Induction of labor at 37 weeks,Home birth with midwife,Elective cesarean delivery at 32-34 weeks
Which of the following is NOT a typical fetal complication in multiple pregnancies?,Intrauterine growth restriction,Neural tube defects,Twin anemia-polycythemia sequence,Preterm birth,Neural tube defects
What is the significance of the "lambda sign" on ultrasound in early pregnancy?,Indicates dichorionic twins,Indicates monochorionic twins,Indicates monoamniotic twins,Indicates conjoined twins,Indicates dichorionic twins
Which of the following is a contraindication to vaginal delivery in multiple pregnancies?,First twin in cephalic presentation,Monochorionic monoamniotic twins,Both twins in cephalic presentation,No previous cesarean section,Monochorionic monoamniotic twins
Which of the following best describes the placenta in dizygotic twins?,Always fused,Always separate,Usually separate but may fuse,Always monochorionic,Usually separate but may fuse
What is the role of corticosteroids in multiple pregnancies?,Prevent twin-to-twin transfusion syndrome,Enhance fetal lung maturity,Reduce maternal blood pressure,Prevent pre-eclampsia,Enhance fetal lung maturity
Which of the following is a common sign of twin-to-twin transfusion syndrome on ultrasound?,Discordant amniotic fluid volumes,Equal fetal size,Single placenta,Polyhydramnios in both sacs,Discordant amniotic fluid volumes
Which of the following is true about the risk of congenital anomalies in multiple pregnancies?,Higher in monozygotic twins,Higher in dizygotic twins,Equal to singleton pregnancies,No risk in twins,Higher in monozygotic twins
Which of the following is the most accurate method to determine zygosity?,Ultrasound,DNA analysis,Maternal serum markers,Physical examination,DNA analysis
Which of the following is a maternal risk specific to multiple pregnancies?,Increased risk of placenta accreta,Increased risk of uterine rupture,Increased risk of postpartum hemorrhage,Increased risk of gestational trophoblastic disease,Increased risk of postpartum hemorrhage
What is the average birth weight difference between twins and singletons?,Twins weigh more,No difference,Twins weigh less,Twins weigh twice as much,Twins weigh less
Which of the following is a key feature of twin anemia-polycythemia sequence?,Unequal blood flow between twins,Equal blood flow,Both twins anemic,Both twins polycythemic,Unequal blood flow between twins
Which of the following is the most common cause of fetal death in monochorionic twin pregnancies?,Cord entanglement,Placental insufficiency,Twin-to-twin transfusion syndrome,Congenital anomalies,Twin-to-twin transfusion syndrome
Which of the following is NOT a factor influencing the incidence of multiple pregnancies?,Maternal age,Parity,Geographic location,Maternal height,Maternal height
Which of the following is a typical feature of monochorionic diamniotic twins?,Two placentas,Two amniotic sacs,Two chorions,Two umbilical cords,Two amniotic sacs
What is the typical timing of chorion and amnion formation in monozygotic twinning?,Day 1-3,Day 4-8,Day 9-12,Day 13-15,Day 4-8
Which of the following is a major risk factor for pre-eclampsia in twin pregnancies?,Monochorionicity,Advanced maternal age,Low BMI,Smoking,Monochorionicity
Which of the following is the best method to prevent preterm labor in multiple pregnancies?,Progesterone supplementation,Cesarean delivery,Bed rest,Magnesium sulfate,Progesterone supplementation
Which of the following is the most common type of twin pregnancy?,Dizygotic dichorionic diamniotic,Monozygotic monochorionic diamniotic,Monozygotic monochorionic monoamniotic,Dizygotic monochorionic diamniotic,Dizygotic dichorionic diamniotic
Which of the following is true regarding the risk of chromosomal abnormalities in multiple pregnancies?,Higher than singleton pregnancies,Lower than singleton pregnancies,Equal to singleton pregnancies,No risk in twins,Higher than singleton pregnancies
Which of the following is a common neonatal complication in multiple pregnancies?,Respiratory distress syndrome,Neonatal jaundice,Neonatal sepsis,Neonatal hypoglycemia,Respiratory distress syndrome
What is the primary cause of fetal growth discordance in twin pregnancies?,Placental insufficiency,Genetic differences,Maternal nutrition,Fetal infections,Placental insufficiency
Which of the following defines a twin pregnancy with one chorion and two amnions?,Monochorionic diamniotic,Monochorionic monoamniotic,Dichorionic diamniotic,Dizygotic twins,Monochorionic diamniotic
Which of the following is a common indication for cesarean delivery in twin pregnancies?,First twin breech presentation,Both twins cephalic,Monochorionic diamniotic twins,No indication,First twin breech presentation
Which of the following best describes the risk of postpartum hemorrhage in twin pregnancies?,Increased,Decreased,No change,Unknown,Increased
Which of the following is a key ultrasound finding in monochorionic monoamniotic twins?,No intertwin membrane,Two separate amniotic sacs,Two separate placentas,Thick intertwin membrane,No intertwin membrane
Which of the following is true about the management of twin-to-twin transfusion syndrome?,Laser ablation of placental vessels is a treatment option,No treatment is available,Delivery is always immediate,Amnioreduction is contraindicated,Laser ablation of placental vessels is a treatment option
Which of the following is the most important factor in predicting outcome in twin pregnancies?,Gestational age at delivery,Mode of delivery,Zygosity,Maternal age,Gestational age at delivery
Which of the following is a typical feature of dizygotic twins?,Always monochorionic,Always diamniotic,Always monoamniotic,Always conjoined,Always diamniotic
Which of the following is the most common cause of neonatal mortality in twin pregnancies?,Prematurity,Congenital anomalies,Twin-to-twin transfusion syndrome,Infections,Prematurity
Which of the following best describes the placenta in monochorionic twins?,Single placenta shared by both fetuses,Two separate placentas,Fused placentas but separate circulation,No placenta,Single placenta shared by both fetuses
Which of the following is the best time to diagnose chorionicity by ultrasound?,6-8 weeks,11-14 weeks,20-22 weeks,28-30 weeks,11-14 weeks
Which of the following is a maternal risk increased by multiple pregnancy?,Anemia,Hyperemesis gravidarum,Placenta previa,Chorioamnionitis,Placenta previa
What is the typical amnionicity of monozygotic twins formed after day 8?,Monochorionic monoamniotic,Monochorionic diamniotic,Dichorionic diamniotic,Dizygotic twins,Monochorionic monoamniotic
Which of the following best describes the risk of congenital anomalies in monozygotic twins?,Higher than dizygotic twins,Higher than singletons,Equal to dizygotic twins,No risk,Higher than singletons
Which of the following is a common fetal complication in dichorionic diamniotic twins?,Twin-to-twin transfusion syndrome,Discordant growth,Cord entanglement,Conjoined twins,Discordant growth
Which of the following is the most common cause of death in monochorionic monoamniotic twins?,Cord entanglement,Placental abruption,Preterm labor,Congenital anomalies,Cord entanglement
Which of the following is true regarding the risk of preterm birth in multiple pregnancies?,Increased risk compared to singleton pregnancies,Decreased risk,No difference,Only increased in monozygotic twins,Increased risk compared to singleton pregnancies
Which of the following is the best antenatal care practice for multiple pregnancies?,Increased frequency of antenatal visits,Standard antenatal care,Reduced antenatal visits,No antenatal care needed,Increased frequency of antenatal visits
Which of the following best describes the management of delivery in twins where the first twin is cephalic and the second is breech?,Vaginal delivery possible,Cesarean delivery mandatory,Induction of labor,Cesarean delivery optional,Vaginal delivery possible
Which of the following is the main cause of maternal anemia in multiple pregnancies?,Increased plasma volume,Iron deficiency,Vitamin B12 deficiency,Folate deficiency,Increased plasma volume
Which of the following is true about the incidence of multiple pregnancies in assisted reproductive technology?,Decreased incidence,No change,Increased incidence,Variable incidence,Increased incidence
Which of the following is a typical feature of monochorionic twins on ultrasound?,Thin intertwin membrane,Thick intertwin membrane,Two separate placentas,Two amniotic sacs,Thin intertwin membrane
Which of the following is the best intervention to reduce the risk of preterm birth in twin pregnancies?,Progesterone supplementation,Cesarean section,Bed rest,Magnesium sulfate,Progesterone supplementation
Which of the following is a fetal complication specific to monoamniotic twins?,Cord entanglement,Twin anemia-polycythemia sequence,Twin-to-twin transfusion syndrome,Discordant growth,Cord entanglement
Which of the following best describes the risk of pre-eclampsia in twin pregnancies?,Higher than singleton pregnancies,Lower than singleton pregnancies,No difference,Only increased in dizygotic twins,Higher than singleton pregnancies
Which of the following is the most common presentation of twins at delivery?,Both cephalic,First cephalic second breech,Both breech,Unknown,Both cephalic
Which of the following is the recommended mode of delivery for monochorionic monoamniotic twins?,Elective cesarean delivery,Planned vaginal delivery,Induction of labor,Home birth,Elective cesarean delivery
Which of the following is true about the risk of postpartum hemorrhage in twin pregnancies?,Increased risk,Decreased risk,No change,Unknown,Increased risk
Which of the following best describes the management of twin anemia-polycythemia sequence?,Intrauterine transfusion and partial exchange transfusion,Immediate delivery,No treatment,Amnioreduction,Intrauterine transfusion and partial exchange transfusion
Which of the following is a key principle in antenatal care of multiple pregnancies?,Early determination of chorionicity,Delayed ultrasound,No difference from singleton care,Reduced monitoring,Early determination of chorionicity
Which of the following is the most important factor in determining prognosis in twin-to-twin transfusion syndrome?,Stage of disease,Gestational age,Mode of delivery,Maternal age,Stage of disease
Which of the following best describes the typical placental vascular anastomoses in monochorionic twins?,Arterio-arterial and arterio-venous,No anastomoses,Only venous anastomoses,Only arterial anastomoses,Arterio-arterial and arterio-venous
Which of the following is true about the risk of congenital anomalies in dizygotic twins?,Similar to singletons,Higher than singletons,Lower than singletons,No risk,Similar to singletons
Which of the following best describes the timing of zygote splitting that results in monochorionic monoamniotic twins?,Day 1-3,Day 4-8,Day 9-12,Day 13-15,Day 9-12
Which of the following is the main maternal risk factor for multiple pregnancy?,Use of fertility treatments,Smoking,Low BMI,High parity,Use of fertility treatments
Which of the following is a fetal complication more common in multiple pregnancies?,Intrauterine growth restriction,Neural tube defects,Chromosomal abnormalities,Congenital heart defects,Intrauterine growth restriction
Which of the following best describes the management of postpartum care in multiple pregnancies?,Increased monitoring for hemorrhage,Standard care,Reduced monitoring,No special care needed,Increased monitoring for hemorrhage
Which of the following is a common cause of fetal demise in twin pregnancies?,Preterm labor,Placental abruption,Congenital anomalies,Intrauterine infection,Preterm labor
Which of the following is true about the risk of gestational diabetes in multiple pregnancies?,Increased risk,Decreased risk,No change,Only increased in monozygotic twins,Increased risk
Which of the following is the typical presentation of the second twin in vaginal delivery?,Cephalic or breech,Always breech,Always cephalic,Unknown,Cephalic or breech
Which of the following best describes the incidence of monozygotic twinning?,Constant worldwide,Varies with maternal age,Increased with ART,Decreased with ART,Constant worldwide
Which of the following is a key feature of the lambda sign on ultrasound?,Triangular projection at the intertwin membrane,Absence of intertwin membrane,Single placenta,Two separate placentas,Triangular projection at the intertwin membrane
Which of the following best describes the management of intrapartum care in multiple pregnancies?,Continuous fetal monitoring,Standard labor monitoring,No monitoring needed,Intermittent auscultation,Continuous fetal monitoring
Which of the following is the most common cause of neonatal morbidity in twin pregnancies?,Prematurity,Twin-to-twin transfusion syndrome,Infections,Congenital anomalies,Prematurity
Which of the following is true about the risk of placenta previa in multiple pregnancies?,Increased risk,Decreased risk,No change,Only increased in monochorionic twins,Increased risk
