Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following structures contributes to both the pelvic inlet and outlet?,Ischiopubic ramus,Pubic symphysis,Sacral promontory,Iliopectineal line,Ischiopubic ramus
Which muscle forms part of the posterior wall of the pelvis?,Obturator internus,Piriformis,Sacrospinous ligament,Sacrotuberous ligament,Piriformis
The female pelvis is characteristically:,Heart-shaped,Deeper and narrower,Shallow and wider,Long and narrow,Shallow and wider
What is the most common type of female pelvis?,Android,Platypelloid,Gynecoid,Anthropoid,Gynecoid
Which pelvic muscle abducts a flexed hip?,Levator ani,Obturator internus,Piriformis,Piriformis,Piriformis
The lateral pelvic wall does not include:,Obturator internus,Sacrotuberous ligament,Piriformis muscle,Sacrospinous ligament,Sacrospinous ligament
Which layer forms the inferior layer of the urogenital diaphragm?,Central perineal tendon,Perineal membrane,Colles’ fascia,Scarpa's fascia,Perineal membrane
In females, the base of the urinary bladder is directly related to the:,Cervix of the uterus,Body of the uterus,Rectum,Anal canal
The ejaculatory duct is NOT characterized by which of the following?,Formed anterior to neck of bladder,Passes between anterior and median lobes of prostate,Formed by duct of seminal vesicle and vas deferens,Opens into prostatic urethra,Formed anterior to neck of bladder
Which structure is NOT part of the inferior aperture of the pelvis?,Ischiopubic ramus,Sacrotuberous ligament,Coccyx,Pecten pubis,Pecten pubis
The iliolumbar ligament does NOT:,Attach to psoas major,Relate posteriorly to erector spinae,Unite transverse process of L5 and iliac crest,Play role maintaining L5 position,Attach to psoas major
The pelvic floor is mainly formed by which muscles?,Obturator externus,Piriformis,Levator ani,Obturator internus,Levator ani
The lumbosacral trunk includes nerve roots from:,S1,L4,L5,L5,S1
Which muscle leaves the lesser pelvis via the greater sciatic foramen?,Pubococcygeus,Puborectalis,Piriformis,Iliococcygeus,Piriformis
Which muscle surrounds the crura at root of penis?,Ischiocavernosus,Superficial transverse perineal,Deep transverse perineal,Bulbospongiosus,Ischiocavernosus
The perineum is divided into urogenital and anal triangles by drawing a transverse line between:,Medial ends of inguinal ligaments to tip of coccyx,Inferior iliac spines to pubic symphysis,Anterior ends of ischial tuberosities,Coccyx to pubic tubercles,Anterior ends of ischial tuberosities
The vestibule of female perineum does NOT contain:,Urethral opening,Ducts of greater vestibular glands,Bulbs of vestibule,Vagina opening,Bulbs of vestibule
Which artery is a direct continuation of the inferior mesenteric artery?,Inferior rectal artery,Superior rectal artery,Iliolumbar artery,Middle rectal artery,Superior rectal artery
Which muscle is part of the lateral pelvic wall?,Piriformis,Obturator internus,Piriformis,Sacrospinous ligament,Obturator internus
The pelvic peritoneum in males does NOT reach the:,Vaginal fornix omitted,Rectovesical fascia,Posterior fornix,Pelvic floor,Pelvic floor
Waldeyer’s fascia is attached to all EXCEPT:,Ano-rectal junction,Hollow of sacrum,Lateral rectal ligament,Vascular structures,Lateral rectal ligament
What forms the pubic crest?,Superior pubic ramus,Ischial spine,Pubic symphysis,Pubic tubercle,Pubic tubercle
Which ligament encloses the greater sciatic foramen?,Sacrotuberous,Sacrospinous,Inguinal,Iliofemoral,Sacrotuberous and sacrospinous
Which structure does NOT contribute to the pelvic brim?,Sacrotuberous ligament,Iliac crest,Arcuate line,Ischiopubic rami,Sacrotuberous ligament
The pelvic inlet tends to be more heart-shaped in:,Both sexes,Females,Males,Children,Males
Which is NOT a true statement about pelvic joints?,Sacroiliac joint is fibrous,Wedge shape stabilizes sacrum,Coccygeus lies on sacrotuberous,Inguinal ligament encloses foramen,Pelvic ligaments
The urethral opening is located in the:,Ischiorectal fossa,Anal triangle,Vestibule,Urogenital triangle,Vestibule
The perineal body is:,Anococcygeal ligament,Pubovesical ligament,Fibrous tissue condensation,Frenulum,Fibrous tissue condensation
Which artery supplies major erectile bodies?,Artery of bulb,Dorsal artery of penis,Deep artery of penis,Posterior labial artery,Deep artery of penis
The bulb of the vestibule is attached to:,Pubic symphysis,Perineal membrane,Ischiopubic rami,Ischial tuberosities,Ischiopubic rami
Which part of the male reproductive tract carries semen only within the prostate?,Penile urethra,Membranous urethra,Prostatic urethra,Spongy urethra,Prostatic urethra
Which muscle is innervated by S2-S4 and abducts a flexed hip?,Piriformis,Coccygeus,Obturator internus,Levator ani,Piriformis
The subpubic angle is acute in:,Both,Male,Female,Neither,Male
What is the shape of female sacrum?,Straight,Concave,C-shaped,Flat,C-shaped
Which pelvic bone is heavier and stronger in males?,Ischial ramus,Pubic bone,Sacrum,Iliac crest,Ischial ramus
Which muscle forms part of the pelvic diaphragm?,Piriformis,Levator ani,Coccygeus,Obturator internus,Levator ani
The perineum is bounded posterolaterally by the:,Sacrotuberous ligament,Sacrospinous ligament,Ischial tuberosity,Inguinal ligament,Sacrotuberous ligament
Which nerve supplies the piriformis muscle?,S1-S3 posterior rami,L4-L5 posterior rami,S1-S2 anterior rami,S2-S4 anterior rami,S2-S4 anterior rami
Which fascia is found over non-expansile structures of the pelvis?,Areolar tissue,Strong membrane,Reticular tissue,Loose connective,Strong membrane
