Question,Option A,Option B,Option C,Option D,Correct Answer
During pregnancy, what happens to the plasma volume?,Decreases,Remains the same,Increases,Increases slightly above red cell mass to cause dilutional anemia
Which respiratory change is characteristic of pregnancy?,Decreased respiratory rate,Increased residual volume,Increased minute ventilation due to progesterone mediated drive,Decreased minute ventilation,Increased minute ventilation due to progesterone mediated drive
What change occurs to cardiac output during pregnancy?,Fluctuates randomly,No change,Decreases by 25%,Increases by 30-50%,Increases by 30-50%
How does pregnancy affect coagulation?,Hypocoagulable state,No change,Hypercoagulable state due to increased fibrinogen and clotting factors,Increased bleeding tendency,Hypercoagulable state due to increased fibrinogen and clotting factors
What happens to the renal plasma flow (RPF) and glomerular filtration rate (GFR) during pregnancy?,RPF and GFR increase by about 50-75%,Both remain unchanged,Both decrease,RPF decreases but GFR increases,RPF and GFR increase by about 50-75%
Which hormone primarily causes increased ventilation in pregnancy?,Progesterone,Estrogen,Relaxin,Oestrogen,Progesterone
How is the position of the diaphragm affected in pregnancy?,Moves laterally,No change,Moves upward by 4cm,Moves downward by 4cm,Moves upward by 4cm
What is the typical effect of pregnancy on blood hemoglobin concentration?,Increases slightly,Decreases due to dilutional anemia caused by plasma volume expansion,No change,Increases markedly,Decreases due to dilutional anemia caused by plasma volume expansion
Which change occurs in the uterine muscle during pregnancy?,Hypertrophy only,Hyperplasia only,No growth,Both hypertrophy and hyperplasia early in pregnancy followed by distension,Both hypertrophy and hyperplasia early in pregnancy followed by distension
How does pregnancy affect glucose metabolism?,Increased utilization and hypoglycemia,Increased insulin secretion only,Decreased utilization and hyperglycemia,No change,Decreased utilization and hyperglycemia
What happens to the maternal tidal volume during pregnancy?,Variable,Increases,Decreases,Remains unchanged,Increases
Which cardiac auscultation finding is common in pregnancy?,S3 gallop and split S1,S4 gallop,No changes,Pathological murmur,S3 gallop and split S1
How does pregnancy affect the vaginal mucosa?,Thinner and less vascular,No change,Thicker and more vascular,Atrophic and pale,Thicker and more vascular
What causes the softening of cervix early in pregnancy?,Increased collagen deposition,Progesterone withdrawal,Decreased blood flow,Increased blood flow leading to Goodell's sign,Increased blood flow leading to Goodell's sign
Why is pregnancy considered a hypercoagulable state?,↓ clotting factors,↑ fibrinogen and factors VII, VIII, IX, X
How is oxygen consumption affected during pregnancy?,Decreased by 15%,Unchanged,Varies by trimester,Increased by 15-20%,Increased by 15-20%
Which of the following renal changes occurs during pregnancy?,Decreased renal blood flow,Dilation of the ureters and renal pelvis,No change,Renal shrinkage,Dilation of the ureters and renal pelvis
What is the effect of pregnancy on blood pressure?,Initial decrease with nadir during mid-pregnancy,Consistent increase throughout,Sharp decrease in late pregnancy,Significant increase in 1st trimester,Initial decrease with nadir during mid-pregnancy
How does the gastrointestinal system adapt during pregnancy?,Reduced gastric acid secretion,No change,Decreased gastric emptying,Increased motility,Decreased gastric emptying
Which hormone causes breast enlargement and mammary gland hypertrophy in pregnancy?,Oxytocin,Prolactin,Progesterone,Human chorionic gonadotropin,Prolactin
How does pregnancy affect serum creatinine and urea levels?,Creatinine increases urea decreases,No change,Both increase,Both decrease,Both decrease
What change in white blood cell count is expected in pregnancy?,Leukopenia,Decreased neutrophils,Leukocytosis with neutrophilia,No change,Leukocytosis with neutrophilia
Which electrolyte disturbance is common due to aldosterone increase in pregnancy?,Hyponatremia,Hypokalemia,Hypernatremia,Hyperkalemia,Hypokalemia
What change occurs to the functional residual capacity (FRC) in pregnancy?,Fluctuates throughout pregnancy,Decreases,No change,Increases,Decreases
What happens to systemic vascular resistance during pregnancy?,Increases,Decreases,No change,Variable,Decreases
How does progesterone affect smooth muscles in pregnancy?,Causes apoptosis,Causes relaxation,Causes contraction,Causes hypertrophy,Causes relaxation
Which hormone causes colostrum formation and lactogenesis?,Estrogen,Oxytocin,Prolactin,Relaxin,Prolactin
What is Chadwick's sign in pregnancy?,Cervical softening,Uterine enlargement,Cervical bluish discoloration,Vaginal bleeding,Cervical bluish discoloration
How does pregnancy affect gut motility?,No change,Increased,Variable,Decreased,Decreased
What respiratory parameter remains unchanged in pregnancy?,Tidal volume,Minute ventilation,Vital capacity,Respiratory rate,Vital capacity
How is maternal cardiac axis affected in pregnancy?,No change,Shifts left,Variable,Shifts right,Shifts left
Which cardiovascular change is NOT typical of pregnancy?,Increased heart rate,Decreased blood volume,Lowered systemic vascular resistance,Increased stroke volume,Decreased blood volume
Why does edema commonly occur in pregnancy?,Increased lymphatic drainage,Decreased plasma oncotic pressure,Increased plasma oncotic pressure,Decreased capillary permeability,Decreased plasma oncotic pressure
What causes increased urinary frequency early in pregnancy?,Ureteral obstruction,Increased renal GFR,Bladder hypertrophy,Uterine enlargement pressing on bladder,Uterine enlargement pressing on bladder
How is minute ventilation changed in pregnancy?,Dependent on posture,Increased,Decreased,No change,Increased
Which blood parameter typically decreases due to dilutional effect in pregnancy?,Hemoglobin concentration,Platelet count,Leukocyte count,Clotting factors,Hemoglobin concentration
What hematological adaptation reduces postpartum hemorrhage risk?,Platelet decrease,Hypercoagulability,Leukopenia,Anemia,Hypercoagulability
Which hormone surge leads to cervical ripening before labor?,Progesterone,Prostaglandins,Estrogen,Human chorionic gonadotropin,Prostaglandins
How do maternal kidneys adapt to increased metabolic demands?,Decreased renal blood flow,Decreased filtration rate,Increased size and filtration rate,No change,Increased size and filtration rate
What happens to baroreceptor sensitivity in pregnancy?,No change,Decreased,Increased,Fluctuates,Decreased
Which hormone is responsible for water retention in pregnancy?,ADH,TSH,Cortisol,Aldosterone,Aldosterone
Where does most of the plasma volume expansion occur during pregnancy?,Postpartum,First trimester,Third trimester,Second trimester,Second trimester
Which muscle fibers grow in response to estrogen stimulation during early pregnancy?,Smooth muscle fibers of uterus,Skeletal muscle fibers,Diaphragm fibers,Myocardial fibers,Smooth muscle fibers of uterus
How does pregnancy affect bowel sounds?,No change,Irregular,Decreased,Increased,Decreased
What causes increased risk of urinary tract infections in pregnancy?,Decreased urine stasis,Ureteral dilation and urinary stasis,Increased ureteral peristalsis,Improved immune function,Ureteral dilation and urinary stasis
Which of the following is NOT increased in pregnancy?,Platelet count,Red blood cell mass,Serum fibrinogen,Plasma volume,Platelet count
During pregnancy, which ion's renal excretion is increased due to aldosterone?,Sodium,Potassium,Calcium,Chloride
What respiratory change leads to decreased arterial CO2 pressure in pregnancy?,Increased residual volume,Increased minute ventilation,Decreased tidal volume,Decreased respiratory rate,Increased minute ventilation
In pregnancy, what causes increased breast vascularity and pigmentation?,Estrogen and progesterone,Prolactin only,Oxytocin,Cortisol
How does pregnancy affect hemoglobin A1c levels?,Variable,Increases,Decreases,No change,Decreases
What happens to uterine blood vessels in the first half of pregnancy?,Atrophy,Hypertrophy and increased coiling,Decrease in number,No change,Hypertrophy and increased coiling
Which condition increases risk of venous thromboembolism in pregnant women?,Anemia,Hypercoagulability,Leukopenia,Hypotension,Hypercoagulability
What causes softening of the cervix near term allowing dilation?,Estrogen withdrawal,Progesterone secretion,Oxytocin surge,Leukocyte collagenase release under prostaglandin influence,Leukocyte collagenase release under prostaglandin influence
How much does the uterine weight increase from pre-pregnancy to term?,50 grams to 950 grams,No significant increase,50 grams to 200 grams,50 grams to 500 grams,50 grams to 950 grams
Which of the following is a typical immune change in pregnancy?,Leukopenia,No change,Increased polymorphonuclear leukocytes,Decreased immunoglobulins,Increased polymorphonuclear leukocytes
How is plasma albumin affected during pregnancy?,Decreased,Variable,Increased,No change,Decreased
Where does the maximum dilation and elongation of the uterus occur in pregnancy?,Cervix,Lower uterine segment,Fallopian tubes,Upper uterine segment,Upper uterine segment
What causes increased oxygen demand in pregnancy?,Decreased maternal metabolism,No change,Fetal oxygen demand decreases,Increased maternal metabolic rate and fetal needs,Increased maternal metabolic rate and fetal needs
Which GI symptom commonly increases due to progesterone effect in pregnancy?,Diarrhea,Constipation,Nausea resolved,Hyperactive bowels,Constipation
Which cardiovascular sound abnormality may be normal in pregnancy?,Absent S1,Loud S2,S4 gallop,S3 gallop,S3 gallop
What causes the increased plasma volume in pregnancy?,Reduced plasma oncotic pressure,Increased ADH secretion,Decreased aldosterone,Reduced renal function,Increased ADH secretion
Which vitamin level commonly decreases due to plasma volume expansion in pregnancy?,Folate,Vitamin B12,Vitamin A,Vitamin D,Folate
In pregnancy, what happens to serum free thyroid hormone levels?,Increase,Decrease,No change,Fluctuate
What hormonal change leads to pigmentation changes (melasma) in pregnancy?,Increased prolactin,Decreased progesterone,Increased ACTH and melanocyte stimulating hormone,Decreased estrogen,Increased ACTH and melanocyte stimulating hormone
Which urinary finding is normal during pregnancy?,No glucose in urine,No casts,Proteinuria >3g/day,Mild glycosuria,Mild glycosuria
How does the hematocrit change during pregnancy?,Decreases due to dilution,Fluctuates,Increases,No change,Decreases due to dilution
Which is the predominant cause of increased cardiac output in pregnancy?,Decreased heart rate,Increased afterload,Increased preload and stroke volume,Reduced blood volume,Increased preload and stroke volume
Which factor causes hydronephrosis during pregnancy?,Decreased renal blood flow,Infection,Hypervolemia,Uterine enlargement and progesterone relaxation of smooth muscle,Uterine enlargement and progesterone relaxation of smooth muscle
What happens to pulmonary residual volume by the third trimester?,No change,Variable,Decreases by 20%,Increases by 20%,Decreases by 20%
Which factor does NOT increase in pregnancy?,Factor V,Factor VII,Factor X,Factor VIII,Factor V
How does estrogen affect maternal respiratory system?,Increases airway resistance,Does not affect,Decreases mucous production,Increases mucosal edema and vascularity,Increases mucosal edema and vascularity
What is the typical effect of pregnancy on maternal blood pressure?,Significant increase throughout,Never decreases,Small decrease in early pregnancy,Fluctuating without pattern,Small decrease in early pregnancy
Which respiratory volumes increase during pregnancy?,Inspiratory capacity and tidal volume,Functional residual capacity,Residual volume only,Tidal volume only,Inspiratory capacity and tidal volume
How does pregnancy affect red blood cell production?,Greatly increased with no anemia,Slightly decreased causing dilutional anemia,No change,Highly decreased,Slightly decreased causing dilutional anemia
Which maternal adaptation permits increased oxygen transfer to fetus?,Increased 2,3-BPG and decreased maternal hemoglobin affinity for oxygen,Decreased 2,3-BPG,Increased hemoglobin affinity
Which hormone mainly causes relaxation of the ligaments and joints during pregnancy?,Estrogen,Relaxin,Oxytocin,Progesterone,Relaxin
How does pregnancy impact insulin sensitivity?,Decreased sensitivity (insulin resistance),Variable,No change,Increased sensitivity,Decreased sensitivity (insulin resistance)
What cardiovascular adaptation leads to increased venous return in pregnancy?,Hypovolemia,Decreased plasma volume,Increased blood volume,Uterine compression of IVC,Increased blood volume
What causes the initial increase in uterine size early in pregnancy?,Embryo growth only,Muscle fiber hypertrophy and hyperplasia,Mucosal thickening,Edema,Muscle fiber hypertrophy and hyperplasia
Which of the following explains gestational diabetes during pregnancy?,Decreased glucose utilization by tissues due to insulin resistance,Increased glucose uptake,Increased insulin secretion,Decreased hepatic gluconeogenesis,Decreased glucose utilization by tissues due to insulin resistance
How does pregnancy affect platelet count?,Severe thrombocytopenia,No change,Increases,Decreases slightly due to dilution,Decreases slightly due to dilution
Which respiratory parameter decreases due to mechanical effect of gravid uterus?,Vital capacity,Inspiratory capacity,Functional residual capacity,Tidal volume,Functional residual capacity
What effect does progesterone have on the respiratory center?,Depresses ventilation,Causes apnea,Stimulates to increase ventilation,No effect,Stimulates to increase ventilation
How do placenta hormones modulate maternal thyroid function?,Decrease thyroid hormone synthesis,Increase thyroid hormone binding globulin leading to higher total thyroid hormone levels,No effect,Block hormone receptors,Increase thyroid hormone binding globulin leading to higher total thyroid hormone levels
Which is a normal dermatological change during pregnancy?,Hirsutism,Melasma,Alopecia,Vitiligo,Melasma
What causes leukocytosis in pregnancy?,Infection,Physiologic stress and hormonal influence,Immune deficiency,Malignancy,Physiologic stress and hormonal influence
Which metabolic change occurs in pregnancy?,Increased lipolysis and decreased glucose utilization,Increased glucose utilization,Decreased lipolysis,No change,Increased lipolysis and decreased glucose utilization
What happens to the gastrointestinal sphincter tone resulting in typical symptoms in pregnancy?,Decreased tone leading to reflux,Variable tone,Increased tone,No change,Decreased tone leading to reflux
