Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following best defines postterm pregnancy?,Pregnancy extending beyond 37 weeks,Delivery after 40 weeks,Gestation of 42 weeks or more,Delivery before 42 weeks,Gestation of 42 weeks or more
Which classification correctly describes a pregnancy delivered at 41 weeks and 3 days?,Term,Preterm,Postterm,Late term,Late term
What is the global incidence of postterm pregnancy among all deliveries?,1-2 percent,5-10 percent,10-15 percent,15-20 percent,5-10 percent
What is the gold standard for establishing gestational age?,Last menstrual period,First trimester ultrasound,Physical examination,Symphysis-fundal height,First trimester ultrasound
Which of the following is NOT a reliable method for dating pregnancy?,First trimester crown-rump length,Second trimester biparietal diameter,Last menstrual period with regular cycles,Third trimester ultrasound,Third trimester ultrasound
Which of the following is a known risk factor for postterm pregnancy?,Multiple gestation,Previous postterm pregnancy,Low maternal BMI,Pre-existing hypertension,Previous postterm pregnancy
Which maternal characteristic is associated with increased risk of postterm pregnancy?,Multiparity,Nulliparity,History of preterm birth,Short menstrual cycles,Nulliparity
Which fetal complication is most strongly associated with postterm pregnancy?,Neural tube defects,Macrosomia,Down syndrome,Prematurity,Macrosomia
What is the most common maternal complication of postterm pregnancy?,Uterine rupture,Postpartum hemorrhage,Chorioamnionitis,Placenta previa,Postpartum hemorrhage
Which of the following is a neonatal risk associated with postterm pregnancy?,Respiratory distress syndrome,Meconium aspiration syndrome,Neonatal hypoglycemia,Polycythemia,Meconium aspiration syndrome
Which of the following best describes "postmaturity syndrome"?,Preterm birth with growth restriction,Term birth with congenital anomalies,Postterm birth with features of wasting,Postterm birth with macrosomia,Postterm birth with features of wasting
Which of the following is the most accurate method for diagnosing postterm pregnancy?,Physical examination,Third trimester ultrasound,First trimester ultrasound,Symphysis-fundal height,First trimester ultrasound
Which of the following is a rational approach to managing postterm pregnancy?,Immediate cesarean section,Expectant management until 44 weeks,Induction of labor at 41-42 weeks,Elective preterm delivery,Induction of labor at 41-42 weeks
Which of the following is the most appropriate initial step in managing a low-risk woman at 41 weeks gestation?,Immediate induction of labor,Weekly antenatal testing,Daily fetal movement counting,Elective cesarean section,Weekly antenatal testing
Which of the following is true regarding the risk of stillbirth in postterm pregnancy?,Risk decreases after 41 weeks,Risk remains constant,Risk increases after 41 weeks,Risk is highest at 37 weeks,Risk increases after 41 weeks
Which of the following is NOT a typical feature of postmaturity syndrome?,Peeling skin,Meconium staining,Increased subcutaneous fat,Long nails,Increased subcutaneous fat
Which of the following is a common finding in the placenta of a postterm pregnancy?,Placental infarction,Placental calcification,Placental abruption,Placenta previa,Placental calcification
Which of the following is the most appropriate management for a postterm pregnancy with non-reassuring fetal testing?,Continue expectant management,Repeat testing in one week,Immediate delivery,Increase maternal hydration,Immediate delivery
Which of the following is the best method for fetal surveillance in postterm pregnancy?,Monthly ultrasound,Weekly non-stress test and amniotic fluid index,Biweekly biophysical profile,Daily fetal heart auscultation,Weekly non-stress test and amniotic fluid index
Which of the following is a benefit of labor induction at 41 weeks in low-risk pregnancies?,Increased cesarean rate,Reduced risk of stillbirth,Higher risk of uterine rupture,Increased risk of infection,Reduced risk of stillbirth
Which of the following is a contraindication to labor induction in postterm pregnancy?,Unfavorable cervix,Previous cesarean section,Placenta previa,History of macrosomia,Placenta previa
Which of the following is an emerging evidence-based recommendation for management of low-risk term pregnancies?,Routine elective cesarean section,Induction at 39 weeks reduces adverse outcomes,Expectant management until 43 weeks,No fetal surveillance needed,Induction at 39 weeks reduces adverse outcomes
Which of the following is a common cause of inaccurate gestational age assignment?,Irregular menstrual cycles,First trimester ultrasound,Known LMP,Regular cycles,Irregular menstrual cycles
Which of the following is a potential maternal risk of postterm pregnancy?,Pre-eclampsia,Placental abruption,Gestational diabetes,Postpartum hemorrhage,Postpartum hemorrhage
Which of the following is a fetal risk unique to postterm pregnancy?,Shoulder dystocia,Neural tube defects,Down syndrome,Prematurity,Shoulder dystocia
Which of the following is a recommended intervention for a woman with a favorable cervix at 41 weeks?,Expectant management,Elective cesarean section,Induction of labor,Repeat ultrasound,Induction of labor
Which of the following is a feature of postmature neonates?,Excess vernix,Peeling skin,Short nails,Macrosomia,Peeling skin
Which of the following is a risk of expectant management beyond 42 weeks?,Reduced risk of stillbirth,Increased risk of meconium aspiration,Improved neonatal outcomes,Lower cesarean rate,Increased risk of meconium aspiration
Which of the following is a key principle in diagnosing postterm pregnancy?,Rely on last menstrual period alone,Use first trimester ultrasound for dating,Wait until 43 weeks for confirmation,Use fundal height measurements,Use first trimester ultrasound for dating
Which of the following is a risk factor for postterm pregnancy?,History of preterm birth,Obesity,Previous postterm pregnancy,Smoking,Previous postterm pregnancy
Which of the following is the most common cause of postterm pregnancy?,Placental insufficiency,Incorrect dating,Genetic factors,Multiple gestation,Incorrect dating
Which of the following is a neonatal complication of postterm pregnancy?,Hypoglycemia,Polycythemia,Meconium aspiration syndrome,All of the above,All of the above
Which of the following is the most appropriate management for a postterm pregnancy with oligohydramnios?,Continue expectant management,Induction of labor,Repeat ultrasound in 1 week,Increase maternal hydration,Induction of labor
Which of the following is a maternal risk increased by postterm pregnancy?,Chorioamnionitis,Placenta previa,Placental abruption,All of the above,All of the above
Which of the following is NOT a typical finding in postmature infants?,Peeling skin,Long nails,Excess subcutaneous fat,Meconium staining,Excess subcutaneous fat
Which of the following is a risk of induction of labor in postterm pregnancy?,Increased risk of uterine rupture,Increased risk of infection,Increased risk of failed induction,All of the above,All of the above
Which of the following is the most important reason to induce labor in a postterm pregnancy?,Reduce risk of macrosomia,Reduce risk of stillbirth,Reduce maternal anxiety,Reduce cesarean rate,Reduce risk of stillbirth
Which of the following is a feature of the placenta in postterm pregnancy?,Increased size,Calcification and infarcts,Hypervascularity,No changes,Calcification and infarcts
Which of the following is the most accurate method for confirming gestational age?,Physical examination,First trimester ultrasound,Second trimester ultrasound,Last menstrual period,First trimester ultrasound
Which of the following is a common fetal complication in postterm pregnancy?,Shoulder dystocia,Macrosomia,Meconium aspiration,All of the above,All of the above
Which of the following is the most common reason for inaccurate diagnosis of postterm pregnancy?,Incorrect dating,Placental insufficiency,Fetal anomalies,Multiple gestation,Incorrect dating
Which of the following is the best approach to reduce neonatal morbidity in postterm pregnancy?,Expectant management until 43 weeks,Induction of labor at 41-42 weeks,Elective cesarean section,No intervention,Induction of labor at 41-42 weeks
Which of the following is a risk factor for postterm pregnancy?,Nulliparity,Multiparity,History of preterm birth,Short menstrual cycles,Nulliparity
Which of the following is a common maternal complication of postterm pregnancy?,Uterine rupture,Postpartum hemorrhage,Placenta previa,Chorioamnionitis,Postpartum hemorrhage
Which of the following is a feature of postmaturity syndrome?,Macrosomia,Polyhydramnios,Meconium staining,Hydrops fetalis,Meconium staining
Which of the following is a recommended intervention for a postterm pregnancy with an unfavorable cervix?,Elective cesarean section,Expectant management,Use of cervical ripening agents,Immediate delivery,Use of cervical ripening agents
Which of the following is the most appropriate fetal surveillance for postterm pregnancy?,Weekly non-stress test and amniotic fluid index,Monthly ultrasound,Biweekly biophysical profile,Daily fetal heart auscultation,Weekly non-stress test and amniotic fluid index
Which of the following is a neonatal risk associated with postterm pregnancy?,Meconium aspiration syndrome,Respiratory distress syndrome,Prematurity,All of the above,Meconium aspiration syndrome
Which of the following is a benefit of induction of labor at 41 weeks in low-risk pregnancies?,Reduced risk of stillbirth,Increased cesarean rate,Increased risk of infection,Increased risk of uterine rupture,Reduced risk of stillbirth
Which of the following is a contraindication to labor induction in postterm pregnancy?,Placenta previa,Previous preterm birth,History of macrosomia,Nulliparity,Placenta previa
Which of the following is a key principle in the management of postterm pregnancy?,Routine elective cesarean section,Individualized management based on risk factors,Expectant management until 43 weeks,No fetal surveillance needed,Individualized management based on risk factors
Which of the following is a risk of expectant management beyond 42 weeks?,Reduced risk of stillbirth,Increased risk of meconium aspiration,Improved neonatal outcomes,Lower cesarean rate,Increased risk of meconium aspiration
Which of the following is a feature of postmature infants?,Peeling skin,Short nails,Excess vernix,Macrosomia,Peeling skin
Which of the following is a common finding in the placenta of a postterm pregnancy?,Placental calcification,Placental abruption,Placenta previa,Chorioamnionitis,Placental calcification
Which of the following is the most appropriate management for a postterm pregnancy with non-reassuring fetal testing?,Continue expectant management,Repeat testing in one week,Immediate delivery,Increase maternal hydration,Immediate delivery
Which of the following is the best method for fetal surveillance in postterm pregnancy?,Weekly non-stress test and amniotic fluid index,Monthly ultrasound,Biweekly biophysical profile,Daily fetal heart auscultation,Weekly non-stress test and amniotic fluid index
Which of the following is a benefit of labor induction at 41 weeks in low-risk pregnancies?,Reduced risk of stillbirth,Increased cesarean rate,Increased risk of infection,Increased risk of uterine rupture,Reduced risk of stillbirth
Which of the following is a contraindication to labor induction in postterm pregnancy?,Placenta previa,Previous preterm birth,History of macrosomia,Nulliparity,Placenta previa
Which of the following is an emerging evidence-based recommendation for management of low-risk term pregnancies?,Routine elective cesarean section,Induction at 39 weeks reduces adverse outcomes,Expectant management until 43 weeks,No fetal surveillance needed,Induction at 39 weeks reduces adverse outcomes
