Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the most common cause of primary postpartum haemorrhage?,Retained placenta,Uterine atony,Genital tract trauma,Coagulation disorders,Uterine atony
What is the minimum amount of blood loss required to define postpartum haemorrhage after a vaginal delivery?,750 ml,500 ml,250 ml,1000 ml,500 ml
Which of the following is NOT a recognized risk factor for postpartum haemorrhage?,Prolonged third stage of labour,Multiple pregnancy,Hyperthyroidism,Pre-eclampsia,Hyperthyroidism
"The ""Four Ts"" mnemonic for postpartum haemorrhage includes all EXCEPT:",Trauma,Tone,Thrombus,Tumour,Tumour
Which uterotonic agent is contraindicated in women with hypertension?,Carboprost,Ergometrine,Misoprostol,Oxytocin,Ergometrine
Secondary postpartum haemorrhage is defined as significant bleeding occurring:,Within 12 hours of delivery,Within 24 hours of delivery,Between 24 hours and 12 weeks postpartum,After 12 weeks postpartum,Between 24 hours and 12 weeks postpartum
Which of the following is a surgical intervention used to control severe postpartum haemorrhage?,B-Lynch suture,Manual removal of placenta,Tranexamic acid,Antibiotic therapy,B-Lynch suture
What is the first-line management for uterine atony causing postpartum haemorrhage?,Broad-spectrum antibiotics,Antifibrinolytics,Uterine massage,Manual removal of placenta,Uterine massage
Which medication is a prostaglandin analogue used in refractory postpartum haemorrhage?,Carboprost,Oxytocin,Tranexamic acid,Ergometrine,Carboprost
Which of the following is NOT a risk factor for uterine atony?,Chorioamnionitis,Nulliparity,Prolonged labour,Overdistended uterus,Nulliparity
A woman develops severe postpartum haemorrhage after caesarean section. She is asthmatic. Which drug should be avoided?,Oxytocin,Carboprost,Ergometrine,Misoprostol,Carboprost
What is the recommended dose of oxytocin infusion for prevention of postpartum haemorrhage?,20 units in 500 ml,5 units in 500 ml,10 units in 500 ml,40 units in 500 ml,40 units in 500 ml
Which of the following is the most common cause of secondary postpartum haemorrhage?,Coagulation disorder,Genital tract trauma,Uterine atony,Retained products of conception,Retained products of conception
Which of the following is NOT an initial step in the management of major postpartum haemorrhage?,Insert two large-bore cannulas,Lie the woman flat,Administer oral iron,Group and crossmatch blood,Administer oral iron
Which surgical procedure is considered a last resort for uncontrolled postpartum haemorrhage?,B-Lynch suture,Uterine balloon tamponade,Uterine artery ligation,Hysterectomy,Hysterectomy
Sheehan's syndrome is a complication of severe postpartum haemorrhage resulting in:,Diabetes insipidus,Hyperprolactinemia,Adrenal insufficiency,Thyroid storm,Adrenal insufficiency
Which of the following is an antifibrinolytic agent used in postpartum haemorrhage?,Carboprost,Ergometrine,Tranexamic acid,Oxytocin,Tranexamic acid
Which of the following is an early sign of hypovolemic shock in postpartum haemorrhage?,Bradycardia,Tachycardia,Hypertension,Polyuria,Tachycardia
Which of the following is the most appropriate investigation for suspected retained products of conception in secondary postpartum haemorrhage?,CT scan,MRI pelvis,Abdominal X-ray,Ultrasound pelvis,Ultrasound pelvis
Which of the following is a contraindication to ergometrine use in postpartum haemorrhage?,Hypertension,Obesity,Asthma,Diabetes mellitus,Hypertension
Which of the following is a mechanical method to control postpartum haemorrhage?,Uterine balloon tamponade,Antibiotics,Uterine artery embolization,Tranexamic acid,Uterine balloon tamponade
Which of the following is NOT a component of active management of the third stage of labour?,Manual removal of placenta,Administration of uterotonic,Controlled cord traction,Early cord clamping,Manual removal of placenta
What is the primary mechanism of action of oxytocin in postpartum haemorrhage?,Promotes platelet aggregation,Stimulates uterine contractions,Induces vasodilation,Inhibits fibrinolysis,Stimulates uterine contractions
Which of the following is the most appropriate first-line uterotonic for prevention of postpartum haemorrhage?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is a recognized risk factor for secondary postpartum haemorrhage?,Retained products of conception,Obesity,Gestational diabetes,Pre-eclampsia,Retained products of conception
Which of the following is NOT a recognized complication of severe postpartum haemorrhage?,Hyperthyroidism,Disseminated intravascular coagulation,Sheehan's syndrome,Acute renal failure,Hyperthyroidism
Which of the following is the correct definition of major postpartum haemorrhage?,Blood loss >1000 ml,Blood loss >3000 ml,Blood loss >2000 ml,Blood loss >500 ml,Blood loss >1000 ml
Which of the following is the most important preventive measure for postpartum haemorrhage?,Delayed cord clamping,Active management of third stage,Prophylactic antibiotics,Manual removal of placenta,Active management of third stage
Which of the following is the most common site of genital tract trauma causing postpartum haemorrhage?,Uterine fundus,Cervix,Vagina,Perineum,Vagina
Which of the following is NOT an indication for blood transfusion in postpartum haemorrhage?,Haemodynamic instability,Haemoglobin <7 g/dl,Stable patient with 900 ml loss,Loss >1000 ml with symptoms,Stable patient with 900 ml loss
Which of the following is a recognized side effect of carboprost?,Bradycardia,Constipation,Asthma exacerbation,Hypertension,Asthma exacerbation
Which of the following is the best initial investigation for suspected endometritis in secondary postpartum haemorrhage?,Ultrasound pelvis,Urine culture,Vaginal swab,Blood culture,Ultrasound pelvis
Which of the following is the most appropriate next step if uterine atony does not respond to uterine massage and oxytocin?,Administer ergometrine,Manual removal of placenta,Observe for 30 minutes,Start antibiotics,Administer ergometrine
Which of the following is NOT a risk factor for primary postpartum haemorrhage?,Episiotomy,Multiple pregnancy,Low birth weight,Prolonged second stage,Low birth weight
Which of the following is the main cause of postpartum haemorrhage in women with placenta accreta?,Coagulation disorder,Trauma,Uterine atony,Retained placenta,Retained placenta
Which of the following is the best method to assess ongoing blood loss in postpartum haemorrhage?,Visual estimation,Serial haemoglobin,Weighing swabs,Urine output,Weighing swabs
Which of the following is NOT a typical feature of Sheehan's syndrome?,Hypertension,Amenorrhea,Failure to lactate,Adrenal insufficiency,Hypertension
Which of the following is the most appropriate management for uterine inversion causing postpartum haemorrhage?,Antibiotics only,Observation,Oxytocin infusion only,Manual repositioning,Manual repositioning
Which of the following is the most appropriate first-line investigation in a woman with delayed postpartum haemorrhage and fever?,Ultrasound pelvis,Chest X-ray,Blood culture,CT abdomen,Ultrasound pelvis
Which of the following is the most important initial step in the management of postpartum haemorrhage?,Monitor urine output,Administer uterotonics,Call for help,Start antibiotics,Call for help
Which of the following is NOT a recognized indication for hysterectomy in postpartum haemorrhage?,Uncontrollable bleeding,Uterine atony unresponsive to treatment,Retained products of conception,Placenta accreta,Retained products of conception
Which of the following is the most common cause of coagulopathy in postpartum haemorrhage?,Placental abruption,Amniotic fluid embolism,Retained placenta,Pre-eclampsia,Amniotic fluid embolism
Which of the following is the most appropriate management for secondary postpartum haemorrhage due to retained products?,Manual removal of placenta,Oxytocin infusion,IV antibiotics,Surgical evacuation,Surgical evacuation
Which of the following is the most important risk factor for postpartum haemorrhage after caesarean section?,Obesity,General anaesthesia,Prolonged second stage,Placenta praevia,Placenta praevia
Which of the following is the most appropriate uterotonic agent in a woman with asthma?,Oxytocin,Carboprost,Misoprostol,Ergometrine,Oxytocin
Which of the following is the first surgical intervention for uncontrolled postpartum haemorrhage after medical management?,Manual removal of placenta,B-Lynch suture,Hysterectomy,Uterine artery embolization,B-Lynch suture
Which of the following is the most common complication of postpartum haemorrhage?,Renal failure,Sheehan's syndrome,Shock,Infection,Shock
Which of the following is NOT a recognized cause of secondary postpartum haemorrhage?,Coagulation disorder,Uterine atony,Retained products of conception,Endometritis,Uterine atony
Which of the following is the most common cause of maternal mortality in postpartum haemorrhage?,Disseminated intravascular coagulation,Sepsis,Hypovolemic shock,Renal failure,Hypovolemic shock
Which of the following is the most appropriate management for persistent bleeding after repair of genital tract trauma?,Ergometrine,Re-exploration and repair,Manual removal of placenta,Oxytocin infusion,Re-exploration and repair
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous caesarean section?,Oxytocin,Hysterectomy,Carboprost,Ergometrine,Oxytocin
Which of the following is the most common cause of postpartum haemorrhage in a woman with multiple pregnancy?,Uterine atony,Trauma,Coagulation disorder,Retained placenta,Uterine atony
Which of the following is the most appropriate management for postpartum haemorrhage due to retained placenta?,Surgical evacuation,Oxytocin infusion,Manual removal of placenta,Ergometrine,Manual removal of placenta
Which of the following is the most appropriate management for postpartum haemorrhage due to coagulopathy?,Manual removal of placenta,Ergometrine,Fresh frozen plasma,Uterine massage,Fresh frozen plasma
Which of the following is NOT a recognized risk factor for uterine atony?,Nulliparity,Multiple pregnancy,Polyhydramnios,Prolonged labour,Nulliparity
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine inversion?,Oxytocin infusion,Manual repositioning,Ergometrine,Observation,Manual repositioning
Which of the following is the most appropriate management for postpartum haemorrhage due to trauma?,Ergometrine,Manual removal of placenta,Repair of trauma,Oxytocin infusion,Repair of trauma
Which of the following is the most appropriate management for postpartum haemorrhage due to retained products of conception?,Manual removal of placenta,Oxytocin infusion,Surgical evacuation,Ergometrine,Surgical evacuation
Which of the following is NOT a recognized cause of postpartum haemorrhage?,Retained placenta,Ovarian cyst rupture,Uterine atony,Trauma,Ovarian cyst rupture
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine rupture?,Oxytocin infusion,Immediate laparotomy,Ergometrine,Manual removal of placenta,Immediate laparotomy
Which of the following is the most appropriate management for postpartum haemorrhage due to placenta accreta?,Hysterectomy,Ergometrine,Oxytocin infusion,Manual removal of placenta,Hysterectomy
