Question,Option A,Option B,Option C,Option D,Correct Answer
What defines premature rupture of membranes (PROM)?,Rupture of membranes before labor onset,Rupture of membranes during labor,Membrane rupture after delivery,Membrane rupture only after 42 weeks,Rupture of membranes before labor onset
Which is the most common gestational age for PROM?,Term pregnancy,Preterm pregnancy,Post-term pregnancy,First trimester,Term pregnancy
What is the major risk associated with PROM?,Intra-amniotic infection,Placental abruption,Pre-eclampsia,Fetal macrosomia,Intra-amniotic infection
Which organism is most commonly associated with chorioamnionitis after PROM?,Group B Streptococcus,Escherichia coli,Listeria monocytogenes,Staphylococcus aureus,Group B Streptococcus
What is the recommended duration after PROM to consider it prolonged rupture?,More than 18 hours,More than 6 hours,More than 12 hours,More than 24 hours,More than 18 hours
What is the primary diagnostic test for PROM?,Speculum examination with nitrazine test,Ultrasound,Amniocentesis,CT scan,Speculum examination with nitrazine test
Which clinical sign is indicative of chorioamnionitis in PROM?,Maternal fever,Fetal bradycardia,Maternal hypotension,Absence of contractions,Maternal fever
What is the first-line management for term PROM without signs of infection?,Induction of labor,Immediate cesarean section,Expectant management,Antibiotic prophylaxis,Induction of labor
Which antibiotic is commonly used for prophylaxis in PROM?,Ampicillin,Vancomycin,Ciprofloxacin,Metronidazole,Ampicillin
What is the main fetal complication of PROM?,Neonatal sepsis,Macrosomia,Neonatal hypoglycemia,Neonatal jaundice,Neonatal sepsis
Which maternal factor increases the risk of PROM?,Smoking,Diabetes,Hypertension,Obesity,Smoking
How does PROM affect the risk of placental abruption?,Increases risk,Decreases risk,No effect,Only affects in preterm pregnancies,Increases risk
Which test can confirm the presence of amniotic fluid in the vagina?,Fern test,Glucose test,Protein test,Leukocyte esterase test,Fern test
What is the role of ultrasound in PROM evaluation?,Assess amniotic fluid volume,Detect membrane rupture,Detect fetal anomalies,Assess placental position,Assess amniotic fluid volume
What is the significance of a positive nitrazine test?,Alkaline pH indicating amniotic fluid,Acidic pH indicating infection,Normal vaginal pH,Blood contamination,Alkaline pH indicating amniotic fluid
Which condition is a contraindication to expectant management in PROM?,Chorioamnionitis,Fetal macrosomia,Gestational diabetes,Pre-eclampsia,Chorioamnionitis
What is the typical latency period between PROM and onset of labor?,12 to 24 hours,48 to 72 hours,More than 7 days,Less than 6 hours,12 to 24 hours
Which fetal monitoring is essential after PROM?,Continuous fetal heart rate monitoring,No monitoring needed,Weekly ultrasounds,Daily kick counts,Continuous fetal heart rate monitoring
What is the recommended delivery method for PROM with fetal distress?,Cesarean section,Induction of labor,Expectant management,Forceps delivery,Cesarean section
Which maternal sign suggests ascending infection after PROM?,Uterine tenderness,Hypertension,Bradycardia,Edema,Uterine tenderness
What is the impact of PROM on neonatal respiratory distress syndrome risk?,Increases risk,Decreases risk,No effect,Only affects post-term infants,Increases risk
Which is a common cause of PROM?,Infection,Multiple gestation,Diabetes,Hypertension,Infection
