Question,Option A,Option B,Option C,Option D,Correct Answer
Which ligament supports the uterus and contains the uterine vessels,Broad ligament,Ovarian ligament,Cardinal ligament,Round ligament,Cardinal ligament
The main blood supply to the ovary is via,External iliac artery,Internal iliac artery,Uterine artery,Ovarian artery,Ovarian artery
The most posterior structure in the female pelvis is,Bladder,Rectum,Vagina,Uterus,Rectum
The perineal body is important because,It is the site of fertilization,It is a site of ovulation,It produces hormones,It supports pelvic organs,It supports pelvic organs
The narrowest part of the male urethra is,Spongy part,Prostatic part,Membranous part,Penile part,Membranous part
The testicular artery arises from,Renal artery,External iliac artery,Internal iliac artery,Abdominal aorta,Abdominal aorta
The pampiniform plexus is important for,Urine transport,Temperature regulation,Sperm motility,Testosterone production,Temperature regulation
The most common site of ectopic pregnancy is,Ampulla,Interstitial,Cervix,Infundibulum,Ampulla
The uterine artery is a branch of,Internal iliac artery,External iliac artery,Abdominal aorta,Ovarian artery,Internal iliac artery
The round ligament of the uterus passes through,Inguinal canal,Ischiorectal fossa,Obturator foramen,Femoral canal,Inguinal canal
The broad ligament is a double layer of,Peritoneum,Muscle,Fascia,Epithelium,Peritoneum
The main nerve supply to the perineum is,Pudendal nerve,Ilioinguinal nerve,Obturator nerve,Femoral nerve,Pudendal nerve
The ischiocavernosus muscle is involved in,Urination,Defecation,Ovulation,Erection,Erection
The female homolog of the male scrotum is,Vagina,Clitoris,Labia majora,Labia minora,Labia majora
The most common site of cervical cancer is,Endocervix,Exocervix,Transformation zone,Internal os,Transformation zone
The uterosacral ligament attaches the uterus to,Sacrum,Ischium,Pubis,Ilium,Sacrum
The main lymphatic drainage of the ovaries is,Inguinal nodes,Internal iliac nodes,External iliac nodes,Para-aortic nodes,Para-aortic nodes
The structure passing through the inguinal canal in females is,Round ligament,Ovarian ligament,Uterine tube,Ovary,Round ligament
The most anterior pelvic organ in females is,Vagina,Uterus,Rectum,Bladder,Bladder
The main function of Sertoli cells is,Spermatogenesis,Progesterone production,Estrogen production,Testosterone production,Spermatogenesis
The acrosome reaction is essential for,Penetration of zona pellucida,Meiosis,Implantation,Ovulation,Penetration of zona pellucida
The zona pellucida is found around,Secondary oocyte,Primary follicle,Primordial follicle,Corpus luteum,Secondary oocyte
The hormone responsible for ovulation is,Progesterone,Estrogen,FSH,LH,LH
The corpus luteum mainly secretes,LH,Estrogen,Progesterone,FSH,Progesterone
The first polar body is extruded during,Ovulation,Implantation,Menstruation,Fertilization,Ovulation
The most common site of fertilization is,Endometrium,Ampulla of fallopian tube,Infundibulum,Ovary,Ampulla of fallopian tube
Capacitation of sperm occurs in,Seminiferous tubules,Uterus,Epididymis,Vagina,Uterus
The process of sperm gaining ability to fertilize is called,Capacitation,Meiosis,Implantation,Acrosome reaction,Capacitation
The hormone that maintains the corpus luteum in early pregnancy is,LH,hCG,FSH,Estrogen,hCG
The window of implantation is,Day 20-24,Day 28-30,Day 10-14,Day 1-5,Day 20-24
The morula forms at,Blastocyst stage,16-cell stage,4-cell stage,2-cell stage,16-cell stage
The blastocyst implants at,Day 6-7,Day 14-16,Day 1-2,Day 10-12,Day 6-7
The trophoblast differentiates into,Cytotrophoblast and syncytiotrophoblast,Amnion and chorion,Epiblast and hypoblast,Decidua and chorion,Cytotrophoblast and syncytiotrophoblast
The main function of syncytiotrophoblast is,Estrogen secretion,Progesterone secretion,hCG secretion,FSH secretion,hCG secretion
The yolk sac is important for,Early hematopoiesis,Amniotic fluid production,Neural tube closure,Placenta formation,Early hematopoiesis
The allantois contributes to,Urinary bladder,Liver,Pancreas,Heart,Urinary bladder
The notochord induces formation of,Heart,Neural tube,Placenta,Somites,Neural tube
The neural tube closes by,Day 21,Day 28,Day 14,Day 7,Day 28
Failure of neural tube closure leads to,Spina bifida,Turner syndrome,Edwards syndrome,Down syndrome,Spina bifida
The most common site of neural tube defects is,Lumbosacral region,Cervical region,Occipital region,Thoracic region,Lumbosacral region
The amnion is derived from,Mesoderm,Epiblast,Hypoblast,Endoderm,Epiblast
The placenta is fully formed by,End of second trimester,End of third trimester,At birth,End of first trimester,End of first trimester
The umbilical vein carries,Waste only,Nutrients only,Deoxygenated blood,Oxygenated blood,Oxygenated blood
The umbilical arteries carry,Deoxygenated blood,Oxygenated blood,Waste only,Nutrients only,Deoxygenated blood
The ductus venosus connects,IVC to SVC,Umbilical artery to aorta,Portal vein to hepatic vein,Umbilical vein to IVC,Umbilical vein to IVC
The foramen ovale connects,Right atrium to left atrium,Left atrium to left ventricle,Right ventricle to left ventricle,Right atrium to right ventricle,Right atrium to left atrium
The ductus arteriosus connects,Pulmonary artery to aorta,Left atrium to left ventricle,Aorta to pulmonary vein,IVC to SVC,Pulmonary artery to aorta
The main hormone for breast development in puberty is,FSH,Progesterone,LH,Estrogen,Estrogen
The first sign of female puberty is,Axillary hair,Menarche,Breast bud development,Pubic hair,Breast bud development
Thelarche refers to,Onset of menstruation,Onset of breast development,Onset of axillary hair,Onset of pubic hair,Onset of breast development
Pubarche refers to,Onset of axillary hair,Onset of menstruation,Onset of pubic hair,Onset of breast development,Onset of pubic hair
Menarche refers to,Onset of breast development,Onset of axillary hair,Onset of menstruation,Onset of pubic hair,Onset of menstruation
The average age of menarche is,12-13 years,8-9 years,18-19 years,15-16 years,12-13 years
The main hormone responsible for the growth spurt in puberty is,Estrogen,FSH,Growth hormone,LH,Growth hormone
The main event in the follicular phase of the menstrual cycle is,Endometrial shedding,Corpus luteum formation,Ovulation,Follicle maturation,Follicle maturation
Ovulation typically occurs on,Day 21,Day 7,Day 14,Day 28,Day 14
The luteal phase is characterized by,FSH dominance,Estrogen dominance,LH dominance,Progesterone dominance,Progesterone dominance
