Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following best describes a p-value in hypothesis testing?,The probability the null hypothesis is true,The probability of obtaining a result as extreme as observed if the null hypothesis is true,The probability of Type II error,The probability of a false positive,The probability of obtaining a result as extreme as observed if the null hypothesis is true
Which measure is most appropriate for central tendency in a highly skewed distribution?,Mean,Median,Mode,Range,Median
Which of the following is a measure of dispersion?,Mean,Median,Standard deviation,Mode,Standard deviation
If a test has high sensitivity, what does it minimize?,False positives,False negatives,True positives,True negatives,False negatives
Which of the following is NOT a type of bias in studies?,Selection bias,Recall bias,Measurement bias,Random error,Random error
What does the area under the ROC curve represent?,Test specificity,Test sensitivity,Overall test accuracy,Prevalence,Overall test accuracy
Which statistical test is most appropriate for comparing means of two independent groups?,Chi-square test,Paired t-test,Independent t-test,ANOVA,Independent t-test
What is the main purpose of randomization in clinical trials?,Increase sample size,Reduce bias,Increase power,Reduce costs,Reduce bias
Which of the following is a non-parametric test?,Student's t-test,ANOVA,Mann-Whitney U test,Linear regression,Mann-Whitney U test
The probability of rejecting the null hypothesis when it is true is called:,Type I error,Type II error,Power,Confidence interval,Type I error
A 95% confidence interval means:,There is a 95% chance the true value lies within the interval,If the study were repeated many times, 95% of intervals would contain the true value,The point estimate is always within the interval,The interval is always symmetric,If the study were repeated many times, 95% of intervals would contain the true value
Which of the following is a categorical variable?,Height,Weight,Blood group,Age,Blood group
Which of the following increases statistical power?,Decreasing sample size,Increasing sample size,Increasing p-value,Decreasing effect size,Increasing sample size
Which of the following is used to assess the association between two categorical variables?,Chi-square test,Student's t-test,Pearson correlation,Linear regression,Chi-square test
Which of the following is the best method to control for confounding in a randomized controlled trial?,Matching,Randomization,Stratification,Blinding,Randomization
The positive predictive value of a test depends on:,Sensitivity only,Specificity only,Prevalence of disease,Sensitivity and specificity only,Prevalence of disease
Which of the following is a continuous variable?,Gender,Ethnicity,Age in years,Blood group,Age in years
What does an odds ratio of 1 indicate?,Increased risk,Decreased risk,No association,Confounding,No association
Which of the following is a type of observational study?,Randomized controlled trial,Cohort study,Meta-analysis,Systematic review,Cohort study
Which of the following is NOT a feature of a case-control study?,Retrospective design,Efficient for rare diseases,Measures incidence,Compares exposures,Measures incidence
