Question,Option A,Option B,Option C,Option D,Correct Answer
Which liver enzyme is most specific for hepatocellular injury?,AST,ALT,ALP,GGT,ALT
Which hepatitis virus is most likely to cause chronic infection?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Hepatitis C
Which enzyme is primarily elevated in cholestatic liver disease?,ALT,AST,ALP,LDH,ALP
A patient with acute hepatitis C is most likely to present with which laboratory finding?,Low ALT,Low AST,Markedly elevated ALT,Low ALP,Markedly elevated ALT
Which of the following is NOT a typical cause of elevated transaminases?,Viral hepatitis,Alcoholic hepatitis,Obstructive jaundice,Myocardial infarction,Obstructive jaundice
Which hepatitis virus is transmitted primarily via the fecal-oral route?,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis A,Hepatitis A
Which of the following is a common cause of nonalcoholic steatohepatitis (NASH)?,Chronic hepatitis B,Obesity,Acetaminophen overdose,Wilson's disease,Obesity
Which of the following is a marker of synthetic liver dysfunction?,Elevated ALT,Elevated AST,Prolonged PT,Elevated ALP,Prolonged PT
Which hepatitis virus requires the presence of hepatitis B virus for infection?,Hepatitis C,Hepatitis D,Hepatitis E,Hepatitis A,Hepatitis D
Which of the following is most characteristic of alcoholic hepatitis?,AST:ALT ratio >2,ALT:AST ratio >2,ALP markedly elevated,ALT >1000,AST:ALT ratio >2
Which of the following is most likely to be elevated in biliary obstruction?,ALT,AST,ALP,LDH,ALP
Which marker is used to indicate past hepatitis B infection with immunity?,HBsAg positive,Anti-HBs positive,HBeAg positive,HBcAg positive,Anti-HBs positive
Which hepatitis virus is associated with increased risk of hepatocellular carcinoma?,Hepatitis A,Hepatitis B,Hepatitis E,Hepatitis A and E,Hepatitis B
Which enzyme is most sensitive for detecting early alcoholic liver disease?,ALT,AST,ALP,GGT,GGT
Which of the following is a common extrahepatic manifestation of chronic hepatitis C?,Arthritis,Pulmonary fibrosis,Nephrotic syndrome,Hyperthyroidism,Arthritis
Which of the following is NOT a typical feature of acute viral hepatitis?,Jaundice,Elevated ALT,Coagulopathy,Polycythemia,Polycythemia
Which hepatitis virus is associated with waterborne epidemics in developing countries?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Hepatitis E
Which of the following is a risk factor for nonalcoholic fatty liver disease?,Low BMI,Chronic hepatitis A,Obesity,Chronic hepatitis D,Obesity
Which of the following is most likely to cause isolated elevation of ALP?,Acute hepatitis,Cholestasis,Chronic hepatitis,Alcoholic hepatitis,Cholestasis
Which of the following is the gold standard for diagnosis of NASH?,ALT level,Fibroscan,Liver biopsy,Ultrasound,Liver biopsy
Which hepatitis virus is a DNA virus?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Hepatitis B
