Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the most common cause of primary postpartum haemorrhage?,Retained placenta,Uterine atony,Genital tract trauma,Coagulation disorders,Uterine atony
What is the minimum amount of blood loss required to define postpartum haemorrhage after a vaginal delivery?,250 ml,500 ml,750 ml,1000 ml,500 ml
Which of the following is NOT a recognized risk factor for postpartum haemorrhage?,Multiple pregnancy,Prolonged third stage of labour,Pre-eclampsia,Hyperthyroidism,Hyperthyroidism
The "Four Ts" mnemonic for postpartum haemorrhage includes all EXCEPT:,Tone,Trauma,Thrombus,Tumour,Tumour
Which uterotonic agent is contraindicated in women with hypertension?,Oxytocin,Ergometrine,Carboprost,Misoprostol,Ergometrine
Secondary postpartum haemorrhage is defined as significant bleeding occurring:,Within 24 hours of delivery,Between 24 hours and 12 weeks postpartum,Within 12 hours of delivery,After 12 weeks postpartum,Between 24 hours and 12 weeks postpartum
Which of the following is a surgical intervention used to control severe postpartum haemorrhage?,B-Lynch suture,Manual removal of placenta,Antibiotic therapy,Tranexamic acid,B-Lynch suture
What is the first-line management for uterine atony causing postpartum haemorrhage?,Broad-spectrum antibiotics,Manual removal of placenta,Uterine massage,Antifibrinolytics,Uterine massage
Which medication is a prostaglandin analogue used in refractory postpartum haemorrhage?,Oxytocin,Ergometrine,Carboprost,Tranexamic acid,Carboprost
Which of the following is NOT a risk factor for uterine atony?,Overdistended uterus,Prolonged labour,Nulliparity,Chorioamnionitis,Nulliparity
A woman develops severe postpartum haemorrhage after caesarean section. She is asthmatic. Which drug should be avoided?,Oxytocin,Carboprost,Ergometrine,Misoprostol,Carboprost
What is the recommended dose of oxytocin infusion for prevention of postpartum haemorrhage?,5 units in 500 ml,10 units in 500 ml,20 units in 500 ml,40 units in 500 ml,40 units in 500 ml
Which of the following is the most common cause of secondary postpartum haemorrhage?,Uterine atony,Genital tract trauma,Retained products of conception,Coagulation disorder,Retained products of conception
Which of the following is NOT an initial step in the management of major postpartum haemorrhage?,Insert two large-bore cannulas,Lie the woman flat,Administer oral iron,Group and crossmatch blood,Administer oral iron
Which surgical procedure is considered a last resort for uncontrolled postpartum haemorrhage?,Uterine artery ligation,B-Lynch suture,Hysterectomy,Uterine balloon tamponade,Hysterectomy
Sheehan's syndrome is a complication of severe postpartum haemorrhage resulting in:,Adrenal insufficiency,Thyroid storm,Diabetes insipidus,Hyperprolactinemia,Adrenal insufficiency
Which of the following is an antifibrinolytic agent used in postpartum haemorrhage?,Tranexamic acid,Oxytocin,Ergometrine,Carboprost,Tranexamic acid
Which of the following is an early sign of hypovolemic shock in postpartum haemorrhage?,Bradycardia,Tachycardia,Hypertension,Polyuria,Tachycardia
Which of the following is the most appropriate investigation for suspected retained products of conception in secondary postpartum haemorrhage?,CT scan,Ultrasound pelvis,MRI pelvis,Abdominal X-ray,Ultrasound pelvis
Which of the following is a contraindication to ergometrine use in postpartum haemorrhage?,Asthma,Hypertension,Diabetes mellitus,Obesity,Hypertension
Which of the following is a mechanical method to control postpartum haemorrhage?,Uterine artery embolization,Uterine balloon tamponade,Tranexamic acid,Antibiotics,Uterine balloon tamponade
Which of the following is NOT a component of active management of the third stage of labour?,Controlled cord traction,Administration of uterotonic,Early cord clamping,Manual removal of placenta,Manual removal of placenta
What is the primary mechanism of action of oxytocin in postpartum haemorrhage?,Promotes platelet aggregation,Stimulates uterine contractions,Inhibits fibrinolysis,Induces vasodilation,Stimulates uterine contractions
Which of the following is the most appropriate first-line uterotonic for prevention of postpartum haemorrhage?,Oxytocin,Carboprost,Ergometrine,Misoprostol,Oxytocin
Which of the following is a recognized risk factor for secondary postpartum haemorrhage?,Retained products of conception,Pre-eclampsia,Gestational diabetes,Obesity,Retained products of conception
Which of the following is NOT a recognized complication of severe postpartum haemorrhage?,Acute renal failure,Sheehan's syndrome,Disseminated intravascular coagulation,Hyperthyroidism,Hyperthyroidism
Which of the following is the correct definition of major postpartum haemorrhage?,Blood loss >500 ml,Blood loss >1000 ml,Blood loss >2000 ml,Blood loss >3000 ml,Blood loss >1000 ml
Which of the following is the most important preventive measure for postpartum haemorrhage?,Active management of third stage,Prophylactic antibiotics,Delayed cord clamping,Manual removal of placenta,Active management of third stage
Which of the following is the most common site of genital tract trauma causing postpartum haemorrhage?,Cervix,Vagina,Perineum,Uterine fundus,Vagina
Which of the following is NOT an indication for blood transfusion in postpartum haemorrhage?,Haemoglobin <7 g/dl,Haemodynamic instability,Loss >1000 ml with symptoms,Stable patient with 900 ml loss,Stable patient with 900 ml loss
Which of the following is a recognized side effect of carboprost?,Bradycardia,Asthma exacerbation,Hypertension,Constipation,Asthma exacerbation
Which of the following is the best initial investigation for suspected endometritis in secondary postpartum haemorrhage?,Blood culture,Vaginal swab,Ultrasound pelvis,Urine culture,Ultrasound pelvis
Which of the following is the most appropriate next step if uterine atony does not respond to uterine massage and oxytocin?,Administer ergometrine,Start antibiotics,Manual removal of placenta,Observe for 30 minutes,Administer ergometrine
Which of the following is NOT a risk factor for primary postpartum haemorrhage?,Prolonged second stage,Episiotomy,Low birth weight,Multiple pregnancy,Low birth weight
Which of the following is the main cause of postpartum haemorrhage in women with placenta accreta?,Uterine atony,Trauma,Retained placenta,Coagulation disorder,Retained placenta
Which of the following is the best method to assess ongoing blood loss in postpartum haemorrhage?,Visual estimation,Weighing swabs,Serial haemoglobin,Urine output,Weighing swabs
Which of the following is NOT a typical feature of Sheehan's syndrome?,Amenorrhea,Failure to lactate,Hypertension,Adrenal insufficiency,Hypertension
Which of the following is the most appropriate management for uterine inversion causing postpartum haemorrhage?,Manual repositioning,Antibiotics only,Oxytocin infusion only,Observation,Manual repositioning
Which of the following is the most appropriate first-line investigation in a woman with delayed postpartum haemorrhage and fever?,Ultrasound pelvis,Blood culture,CT abdomen,Chest X-ray,Ultrasound pelvis
Which of the following is the most important initial step in the management of postpartum haemorrhage?,Administer uterotonics,Call for help,Start antibiotics,Monitor urine output,Call for help
Which of the following is NOT a recognized indication for hysterectomy in postpartum haemorrhage?,Uterine atony unresponsive to treatment,Placenta accreta,Retained products of conception,Uncontrollable bleeding,Retained products of conception
Which of the following is the most common cause of coagulopathy in postpartum haemorrhage?,Pre-eclampsia,Placental abruption,Amniotic fluid embolism,Retained placenta,Amniotic fluid embolism
Which of the following is the most appropriate management for secondary postpartum haemorrhage due to retained products?,IV antibiotics,Manual removal of placenta,Surgical evacuation,Oxytocin infusion,Surgical evacuation
Which of the following is the most important risk factor for postpartum haemorrhage after caesarean section?,Prolonged second stage,General anaesthesia,Placenta praevia,Obesity,Placenta praevia
Which of the following is the most appropriate uterotonic agent in a woman with asthma?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the first surgical intervention for uncontrolled postpartum haemorrhage after medical management?,Hysterectomy,B-Lynch suture,Uterine artery embolization,Manual removal of placenta,B-Lynch suture
Which of the following is the most common complication of postpartum haemorrhage?,Renal failure,Infection,Shock,Sheehan's syndrome,Shock
Which of the following is NOT a recognized cause of secondary postpartum haemorrhage?,Endometritis,Retained products of conception,Coagulation disorder,Uterine atony,Uterine atony
Which of the following is the most common cause of maternal mortality in postpartum haemorrhage?,Hypovolemic shock,Sepsis,Renal failure,Disseminated intravascular coagulation,Hypovolemic shock
Which of the following is the most appropriate management for persistent bleeding after repair of genital tract trauma?,Re-exploration and repair,Oxytocin infusion,Ergometrine,Manual removal of placenta,Re-exploration and repair
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous caesarean section?,Oxytocin,Ergometrine,Carboprost,Hysterectomy,Oxytocin
Which of the following is the most common cause of postpartum haemorrhage in a woman with multiple pregnancy?,Uterine atony,Trauma,Retained placenta,Coagulation disorder,Uterine atony
Which of the following is the most appropriate management for postpartum haemorrhage due to retained placenta?,Manual removal of placenta,Oxytocin infusion,Ergometrine,Surgical evacuation,Manual removal of placenta
Which of the following is the most appropriate management for postpartum haemorrhage due to coagulopathy?,Uterine massage,Fresh frozen plasma,Ergometrine,Manual removal of placenta,Fresh frozen plasma
Which of the following is NOT a recognized risk factor for uterine atony?,Multiple pregnancy,Polyhydramnios,Prolonged labour,Nulliparity,Nulliparity
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine inversion?,Manual repositioning,Oxytocin infusion,Ergometrine,Observation,Manual repositioning
Which of the following is the most appropriate management for postpartum haemorrhage due to trauma?,Repair of trauma,Oxytocin infusion,Ergometrine,Manual removal of placenta,Repair of trauma
Which of the following is the most appropriate management for postpartum haemorrhage due to retained products of conception?,Surgical evacuation,Oxytocin infusion,Ergometrine,Manual removal of placenta,Surgical evacuation
Which of the following is NOT a recognized cause of postpartum haemorrhage?,Uterine atony,Trauma,Retained placenta,Ovarian cyst rupture,Ovarian cyst rupture
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine rupture?,Immediate laparotomy,Oxytocin infusion,Ergometrine,Manual removal of placenta,Immediate laparotomy
Which of the following is the most appropriate management for postpartum haemorrhage due to placenta accreta?,Manual removal of placenta,Oxytocin infusion,Hysterectomy,Ergometrine,Hysterectomy
