Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following statements about Python dictionaries is TRUE?,They allow duplicate keys,They are unordered in Python 3.7 and above,They are mutable,They use parentheses for declaration,They are mutable
What is the correct syntax to access the value associated with the key "model" in the dictionary car = {"brand": "Ford" "model": "Mustang" "year": 1964}?,car.model,car["model"],car(model),car->model,car["model"]
Which method would you use to remove a key-value pair from a dictionary by key and return its value?,remove(),pop(),discard(),delete(),pop()
What will be the output of len({1: "a" 2: "b" 3: "c"})?,3,2,1,0,3
Which of the following is NOT a valid dictionary key?,(1 2),[1 2],"key",42,[1 2]
How do you add a new key-value pair to an existing dictionary d in Python?,d.add("k" "v"),d["k"] = "v",d.append("k" "v"),add(d "k" "v"),d["k"] = "v"
What does the update() method do in a Python dictionary?,Updates all values to the same value,Merges another dictionary into the current one,Deletes all items,Sorts the dictionary,Merges another dictionary into the current one
Which statement about Python sets is FALSE?,Sets are unordered,Sets allow duplicate elements,Sets are mutable,Set elements must be immutable,Sets allow duplicate elements
How do you create an empty set in Python?,{},[],set(),emptyset(),set()
Which operation returns the common elements between two sets A and B?,A | B,A & B,A - B,A ^ B,A & B
What is the result of {"a" "b" "c"} & {"b" "c" "d"}?,{"a" "b" "c" "d"},{"b" "c"},{"a" "d"},set(),{"b" "c"}
Which method removes all elements from a set?,clear(),remove(),discard(),pop(),clear()
What happens if you try to access a set element by index?,Returns the element,Raises a KeyError,Raises a TypeError,Returns None,Raises a TypeError
Which of the following is a valid way to add an element to a set s?,s.add("x"),s.append("x"),s["x"] = True,s.insert("x"),s.add("x")
What is the output of set([1 2 2 3 4 4 5])?,{1 2 2 3 4 4 5},{1 2 3 4 5},{1 3 5},{2 4},{1 2 3 4 5}
Which set operation is performed by the ^ operator?,Union,Intersection,Symmetric difference,Subset,Symmetric difference
Which method checks if two sets have no elements in common?,issubset(),isdisjoint(),issuperset(),difference(),isdisjoint()
Which method would you use to return a shallow copy of a set?,copy(),clone(),duplicate(),replicate(),copy()
Which of the following statements about tuples is TRUE?,Tuples are mutable,Tuples are unordered,Tuples allow duplicate elements,Tuples cannot be nested,Tuples allow duplicate elements
