Question,Option A,Option B,Option C,Option D,Correct Answer
Which artery is most commonly involved in embolic ischemic stroke?,Anterior cerebral artery,Middle cerebral artery,Posterior cerebral artery,Basilar artery,Middle cerebral artery
A patient presents with right hemiparesis and expressive aphasia. Which cerebral artery is most likely affected?,Left posterior cerebral artery,Right middle cerebral artery,Left middle cerebral artery,Right anterior cerebral artery,Left middle cerebral artery
Which of the following is NOT a typical contraindication for tPA administration in acute ischemic stroke?,Onset of symptoms >4.5 hours,Platelet count <100000,Active internal bleeding,Age over 80,Age over 80
The most common cause of spontaneous intracerebral hemorrhage is:,Amyloid angiopathy,Chronic hypertension,Trauma,Arteriovenous malformation,Chronic hypertension
A patient with left homonymous hemianopia and right-sided weakness most likely has a stroke in which vascular territory?,Left anterior cerebral artery,Right posterior cerebral artery,Left posterior cerebral artery,Right middle cerebral artery,Left posterior cerebral artery
Which of the following is the first imaging study recommended in the evaluation of acute stroke?,MRI with contrast,Non-contrast CT head,CT angiography,Carotid Doppler,Non-contrast CT head
The penumbra in acute ischemic stroke refers to:,The area of hemorrhage,The core of infarcted tissue,The area of potentially salvageable tissue,The area of vasogenic edema,The area of potentially salvageable tissue
Which of the following is the strongest risk factor for stroke?,Diabetes mellitus,Hypertension,Hyperlipidemia,Smoking,Hypertension
Which clinical syndrome is most suggestive of a lacunar stroke?,Global aphasia,Contralateral pure motor hemiparesis,Homonymous hemianopia,Locked-in syndrome,Contralateral pure motor hemiparesis
What is the recommended blood pressure threshold for initiating antihypertensive therapy in a patient eligible for tPA?,>220/120 mmHg,>185/110 mmHg,>160/90 mmHg,>140/90 mmHg,>185/110 mmHg
Which is the most important initial step in the management of a patient presenting with suspected acute stroke?,Start aspirin,Obtain urgent brain imaging,Start IV heparin,Administer IV fluids,Obtain urgent brain imaging
Which of the following is a recognized complication of large cerebellar infarcts?,Cerebral edema,Hydrocephalus,Myocardial infarction,Renal failure,Hydrocephalus
Which stroke syndrome is characterized by ipsilateral cranial nerve deficits and contralateral hemiparesis?,Wallenberg syndrome,Weber syndrome,Locked-in syndrome,Millard-Gubler syndrome,Weber syndrome
Which of the following is most likely to cause a cardioembolic stroke?,Mitral valve prolapse,Patent foramen ovale,Atrial fibrillation,Hypertrophic cardiomyopathy,Atrial fibrillation
Which of the following is NOT a feature of posterior circulation stroke?,Vertigo,Ataxia,Amaurosis fugax,Dysarthria,Amaurosis fugax
Which of the following is an absolute contraindication to thrombolytic therapy in acute ischemic stroke?,History of hypertension,Age >75 years,Active gastrointestinal bleeding,Diabetes mellitus,Active gastrointestinal bleeding
Which of the following is the most common site for hypertensive intracerebral hemorrhage?,Thalamus,Pons,Cerebellum,Putamen,Putamen
A patient presents with sudden onset of "worst headache of my life." What is the most likely diagnosis?,Ischemic stroke,Subarachnoid hemorrhage,Epidural hematoma,Subdural hematoma,Subarachnoid hemorrhage
Which of the following is a modifiable risk factor for stroke recurrence?,Age,Sex,Hypertension,Family history,Hypertension
The Oxford Stroke Classification "TACI" requires which of the following?,Motor deficit only,Visual field deficit only,All three: higher dysfunction, homonymous hemianopia, motor/sensory deficit,Ataxia,All three: higher dysfunction, homonymous hemianopia, motor/sensory deficit
Which of the following is the best acute treatment for a patient with ischemic stroke who arrives within 2 hours of symptom onset and meets all criteria?,Aspirin,IV tPA,IV heparin,IV mannitol,IV tPA
Which of the following is a classic feature of anterior cerebral artery stroke?,Contralateral face and arm weakness,Contralateral leg weakness,Homonymous hemianopia,Aphasia,Contralateral leg weakness
Which of the following investigations is most useful for identifying the ischemic penumbra?,Non-contrast CT,CT perfusion,MRA neck,Carotid ultrasound,CT perfusion
What is the most common cause of subarachnoid hemorrhage?,Hypertension,Ruptured saccular aneurysm,Trauma,Arteriovenous malformation,Ruptured saccular aneurysm
Which of the following is a key secondary prevention strategy after ischemic stroke?,Antiepileptic drugs,Statin therapy,IV tPA,IVIG,Statin therapy
Which of the following is the most common cause of stroke in young adults?,Carotid dissection,Hypertension,Atrial fibrillation,Diabetes mellitus,Carotid dissection
What is the recommended time window for mechanical thrombectomy in select patients with large vessel occlusion?,Within 3 hours,Within 4.5 hours,Within 6 hours,Up to 24 hours,Up to 24 hours
Which of the following is a recognized complication of tPA therapy?,Renal failure,Intracerebral hemorrhage,Seizure,Myocardial infarction,Intracerebral hemorrhage
Which of the following is the most common long-term disability following stroke?,Aphasia,Depression,Motor impairment,Seizures,Motor impairment
Which of the following is the best predictor of poor outcome in intracerebral hemorrhage?,Age <50,Small hematoma volume,Low Glasgow Coma Scale,History of diabetes,Low Glasgow Coma Scale
Which of the following is the initial antiplatelet agent recommended for acute non-cardioembolic ischemic stroke?,Aspirin,Clopidogrel,Warfarin,Dipyridamole,Aspirin
Which of the following is most likely to improve functional outcome if started early after stroke?,Physical therapy,Antibiotics,Statins,Antidepressants,Physical therapy
Which of the following is a feature of lateral medullary (Wallenberg) syndrome?,Ipsilateral tongue weakness,Contralateral facial pain and temperature loss,Contralateral body pain and temperature loss,Contralateral hemiparesis,Contralateral body pain and temperature loss
Which of the following is the most sensitive imaging modality for detecting acute ischemic stroke?,Non-contrast CT,Diffusion-weighted MRI,CT angiography,Carotid Doppler,Diffusion-weighted MRI
Which of the following is the most common cause of death in the first month after stroke?,Recurrent stroke,Infection,Cardiac complications,Brain edema,Brain edema
Which of the following is the most appropriate management for a patient with suspected stroke and hypoglycemia?,Administer IV insulin,Administer IV dextrose,Administer aspirin,Administer IV tPA,Administer IV dextrose
Which of the following is a recognized risk of carotid endarterectomy?,Renal failure,Hyperkalemia,Cranial nerve injury,Deep vein thrombosis,Cranial nerve injury
Which of the following is a feature of subcortical (lacunar) stroke?,Aphasia,Neglect,Pure sensory deficit,Homonymous hemianopia,Pure sensory deficit
Which of the following statements about transient ischemic attack (TIA) is correct?,TIA symptoms last more than 24 hours,TIA is always associated with infarction on imaging,TIA confers a high risk of stroke in the next 48 hours,TIA is caused only by emboli,TIA confers a high risk of stroke in the next 48 hours
